unique_id,n,pi1,pi2,model,file,rate_MSE,rate_MAE,rate_R2,count_MSE,count_MAE,count_R2,count_Accuracy
n=50_pi1=0.3_pi2=0.3,50,0.3,0.3,PoissonRandomForestRegressor,n=50_pi1=0.3_pi2=0.3.txt,2.8401,1.6166,-0.3922,3.6,1.8,-0.7647,0.0
n=2000_pi1=0.4_pi2=0.4,2000,0.4,0.4,ZKIPModel_EM,n=2000_pi1=0.4_pi2=0.4.txt,4.166,1.5415,0.156,5.99,5.99,-0.2135,0.4725
n=2000_pi1=0.4_pi2=0.4,2000,0.4,0.4,ZkICMP,n=2000_pi1=0.4_pi2=0.4.txt,4.2468,1.5244,0.1396,5.8925,1.4525,-0.1938,0.4825
n=2000_pi1=0.4_pi2=0.4,2000,0.4,0.4,HistGradientBoostingRegressor,n=2000_pi1=0.4_pi2=0.4.txt,4.6726,1.5904,0.0534,4.8325,1.5825,0.021,0.0753
n=2000_pi1=0.4_pi2=0.4,2000,0.4,0.4,PoissonRandomForestRegressor,n=2000_pi1=0.4_pi2=0.4.txt,4.8148,1.5726,0.0246,4.94,1.58,-0.0008,0.0775
n=5000_pi1=0.4_pi2=0.4,5000,0.4,0.4,ZKIPModel_EM,n=5000_pi1=0.4_pi2=0.4.txt,2.9642,1.5181,0.0492,4.938,4.938,-0.5839,0.45
n=5000_pi1=0.4_pi2=0.4,5000,0.4,0.4,ZkICMP,n=5000_pi1=0.4_pi2=0.4.txt,3.4015,1.5484,-0.0911,4.713,1.537,-0.5118,0.449
n=5000_pi1=0.4_pi2=0.4,5000,0.4,0.4,HistGradientBoostingRegressor,n=5000_pi1=0.4_pi2=0.4.txt,3.1804,1.5435,-0.0201,3.295,1.531,-0.0569,0.0707
n=5000_pi1=0.4_pi2=0.4,5000,0.4,0.4,PoissonRandomForestRegressor,n=5000_pi1=0.4_pi2=0.4.txt,3.2486,1.5454,-0.042,3.345,1.539,-0.073,0.068
n=100_pi1=0.3_pi2=0.3,100,0.3,0.3,ZKIPModel_EM,n=100_pi1=0.3_pi2=0.3.txt,2.1981,1.353,-0.0417,4.4,4.4,-1.0853,0.35
n=100_pi1=0.3_pi2=0.3,100,0.3,0.3,ZkICMP,n=100_pi1=0.3_pi2=0.3.txt,2.6682,1.4033,-0.2645,4.4,1.6,-1.0853,0.35
n=100_pi1=0.3_pi2=0.3,100,0.3,0.3,HistGradientBoostingRegressor,n=100_pi1=0.3_pi2=0.3.txt,2.9242,1.4786,-0.3859,2.65,1.35,-0.2559,0.1765
n=100_pi1=0.3_pi2=0.3,100,0.3,0.3,PoissonRandomForestRegressor,n=100_pi1=0.3_pi2=0.3.txt,1.998,1.2606,0.0531,1.85,1.25,0.1232,0.05
n=200_pi1=0.2_pi2=0.2,200,0.2,0.2,ZKIPModel_EM,n=200_pi1=0.2_pi2=0.2.txt,4.6734,1.5567,0.2983,6.025,6.025,0.0953,0.4
n=200_pi1=0.2_pi2=0.2,200,0.2,0.2,ZkICMP,n=200_pi1=0.2_pi2=0.2.txt,5.4367,1.6389,0.1837,6.175,1.725,0.0728,0.325
n=200_pi1=0.2_pi2=0.2,200,0.2,0.2,HistGradientBoostingRegressor,n=200_pi1=0.2_pi2=0.2.txt,4.727,1.5202,0.2902,4.725,1.525,0.2905,0.1765
n=200_pi1=0.2_pi2=0.2,200,0.2,0.2,PoissonRandomForestRegressor,n=200_pi1=0.2_pi2=0.2.txt,4.6605,1.5063,0.3002,4.875,1.525,0.268,0.25
n=1000_pi1=0.4_pi2=0.4,1000,0.4,0.4,ZKIPModel_EM,n=1000_pi1=0.4_pi2=0.4.txt,2.653,1.4744,-0.0247,4.24,4.24,-0.6376,0.485
n=1000_pi1=0.4_pi2=0.4,1000,0.4,0.4,ZkICMP,n=1000_pi1=0.4_pi2=0.4.txt,4.5497,1.62,-0.7572,4.105,1.375,-0.5855,0.5
n=1000_pi1=0.4_pi2=0.4,1000,0.4,0.4,HistGradientBoostingRegressor,n=1000_pi1=0.4_pi2=0.4.txt,2.8419,1.4825,-0.0977,2.985,1.505,-0.1529,0.0929
n=1000_pi1=0.4_pi2=0.4,1000,0.4,0.4,PoissonRandomForestRegressor,n=1000_pi1=0.4_pi2=0.4.txt,2.859,1.4854,-0.1042,3.0,1.5,-0.1587,0.095
n=500_pi1=0.2_pi2=0.2,500,0.2,0.2,ZKIPModel_EM,n=500_pi1=0.2_pi2=0.2.txt,3.7313,1.4786,0.4217,6.54,6.54,-0.0136,0.35
n=500_pi1=0.2_pi2=0.2,500,0.2,0.2,ZkICMP,n=500_pi1=0.2_pi2=0.2.txt,4.8837,1.4284,0.2431,6.63,1.57,-0.0275,0.36
n=500_pi1=0.2_pi2=0.2,500,0.2,0.2,HistGradientBoostingRegressor,n=500_pi1=0.2_pi2=0.2.txt,3.4196,1.5496,0.47,3.6,1.6,0.4421,0.1236
n=500_pi1=0.2_pi2=0.2,500,0.2,0.2,PoissonRandomForestRegressor,n=500_pi1=0.2_pi2=0.2.txt,4.3664,1.5733,0.3233,4.52,1.6,0.2995,0.14
n=5000_pi1=0.3_pi2=0.3,5000,0.3,0.3,ZKIPModel_EM,n=5000_pi1=0.3_pi2=0.3.txt,3.5306,1.468,0.2118,5.679,5.679,-0.2677,0.423
n=5000_pi1=0.3_pi2=0.3,5000,0.3,0.3,ZkICMP,n=5000_pi1=0.3_pi2=0.3.txt,4.1809,1.527,0.0667,5.244,1.524,-0.1706,0.416
n=5000_pi1=0.3_pi2=0.3,5000,0.3,0.3,HistGradientBoostingRegressor,n=5000_pi1=0.3_pi2=0.3.txt,3.889,1.5266,0.1318,4.005,1.515,0.106,0.1614
n=5000_pi1=0.3_pi2=0.3,5000,0.3,0.3,PoissonRandomForestRegressor,n=5000_pi1=0.3_pi2=0.3.txt,3.9687,1.5377,0.1141,4.1,1.54,0.0847,0.146
n=50_pi1=0.2_pi2=0.2,50,0.2,0.2,ZKIPModel_EM,n=50_pi1=0.2_pi2=0.2.txt,2.8915,1.5114,-0.1295,3.1,3.1,-0.2109,0.3
n=50_pi1=0.2_pi2=0.2,50,0.2,0.2,ZkICMP,n=50_pi1=0.2_pi2=0.2.txt,3.2991,1.591,-0.2887,2.2,1.0,0.1406,0.4
n=50_pi1=0.2_pi2=0.2,50,0.2,0.2,HistGradientBoostingRegressor,n=50_pi1=0.2_pi2=0.2.txt,3.244,1.6208,-0.2672,3.4,1.6,-0.3281,0.1111
n=50_pi1=0.2_pi2=0.2,50,0.2,0.2,PoissonRandomForestRegressor,n=50_pi1=0.2_pi2=0.2.txt,3.7002,1.6377,-0.4454,4.2,1.8,-0.6406,0.0
n=2000_pi1=0.3_pi2=0.3,2000,0.3,0.3,ZKIPModel_EM,n=2000_pi1=0.3_pi2=0.3.txt,3.8035,1.525,0.2277,5.4625,5.4625,-0.1092,0.43
n=2000_pi1=0.3_pi2=0.3,2000,0.3,0.3,ZkICMP,n=2000_pi1=0.3_pi2=0.3.txt,4.1939,1.5361,0.1484,5.5075,1.5025,-0.1183,0.4325
n=2000_pi1=0.3_pi2=0.3,2000,0.3,0.3,HistGradientBoostingRegressor,n=2000_pi1=0.3_pi2=0.3.txt,4.4848,1.5511,0.0894,4.6425,1.5375,0.0573,0.1594
n=2000_pi1=0.3_pi2=0.3,2000,0.3,0.3,PoissonRandomForestRegressor,n=2000_pi1=0.3_pi2=0.3.txt,4.3054,1.5314,0.1258,4.315,1.52,0.1238,0.14
n=1000_pi1=0.3_pi2=0.3,1000,0.3,0.3,ZKIPModel_EM,n=1000_pi1=0.3_pi2=0.3.txt,3.7027,1.5038,0.251,5.74,5.74,-0.1611,0.45
n=1000_pi1=0.3_pi2=0.3,1000,0.3,0.3,ZkICMP,n=1000_pi1=0.3_pi2=0.3.txt,3.8956,1.4615,0.212,5.02,1.37,-0.0154,0.475
n=1000_pi1=0.3_pi2=0.3,1000,0.3,0.3,HistGradientBoostingRegressor,n=1000_pi1=0.3_pi2=0.3.txt,4.3603,1.536,0.118,4.625,1.545,0.0645,0.2121
n=1000_pi1=0.3_pi2=0.3,1000,0.3,0.3,PoissonRandomForestRegressor,n=1000_pi1=0.3_pi2=0.3.txt,4.1633,1.5253,0.1579,4.275,1.515,0.1353,0.17
n=10000_pi1=0.2_pi2=0.2,10000,0.2,0.2,ZKIPModel_EM,n=10000_pi1=0.2_pi2=0.2.txt,4.0169,1.4798,0.4232,6.768,6.768,0.0282,0.3885
n=10000_pi1=0.2_pi2=0.2,10000,0.2,0.2,ZkICMP,n=10000_pi1=0.2_pi2=0.2.txt,5.4443,1.568,0.2183,6.855,1.579,0.0157,0.3885
n=10000_pi1=0.2_pi2=0.2,10000,0.2,0.2,HistGradientBoostingRegressor,n=10000_pi1=0.2_pi2=0.2.txt,4.4101,1.4979,0.3668,4.506,1.475,0.353,0.233
n=10000_pi1=0.2_pi2=0.2,10000,0.2,0.2,PoissonRandomForestRegressor,n=10000_pi1=0.2_pi2=0.2.txt,4.5425,1.5294,0.3477,4.597,1.511,0.3399,0.1775
n=100_pi1=0.4_pi2=0.4,100,0.4,0.4,ZKIPModel_EM,n=100_pi1=0.4_pi2=0.4.txt,2.1926,1.4401,-0.0392,3.8,3.8,-0.8009,0.55
n=100_pi1=0.4_pi2=0.4,100,0.4,0.4,ZkICMP,n=100_pi1=0.4_pi2=0.4.txt,2.9435,1.5369,-0.395,3.8,1.3,-0.8009,0.55
n=100_pi1=0.4_pi2=0.4,100,0.4,0.4,HistGradientBoostingRegressor,n=100_pi1=0.4_pi2=0.4.txt,2.6978,1.5183,-0.2786,2.65,1.45,-0.2559,0.1111
n=100_pi1=0.4_pi2=0.4,100,0.4,0.4,PoissonRandomForestRegressor,n=100_pi1=0.4_pi2=0.4.txt,2.0962,1.3852,0.0065,2.5,1.5,-0.1848,0.0
n=10000_pi1=0.4_pi2=0.4,10000,0.4,0.4,ZKIPModel_EM,n=10000_pi1=0.4_pi2=0.4.txt,3.22,1.5462,0.0412,5.301,5.301,-0.5785,0.463
n=10000_pi1=0.4_pi2=0.4,10000,0.4,0.4,ZkICMP,n=10000_pi1=0.4_pi2=0.4.txt,3.6444,1.553,-0.0852,4.9635,1.5445,-0.478,0.456
n=10000_pi1=0.4_pi2=0.4,10000,0.4,0.4,HistGradientBoostingRegressor,n=10000_pi1=0.4_pi2=0.4.txt,3.3405,1.5479,0.0053,3.4635,1.5295,-0.0313,0.0707
n=10000_pi1=0.4_pi2=0.4,10000,0.4,0.4,PoissonRandomForestRegressor,n=10000_pi1=0.4_pi2=0.4.txt,3.5142,1.5603,-0.0464,3.62,1.564,-0.0779,0.059
n=100_pi1=0.2_pi2=0.2,100,0.2,0.2,ZKIPModel_EM,n=100_pi1=0.2_pi2=0.2.txt,2.3092,1.2786,0.2889,3.4,3.4,-0.047,0.45
n=100_pi1=0.2_pi2=0.2,100,0.2,0.2,ZkICMP,n=100_pi1=0.2_pi2=0.2.txt,2.9513,1.3432,0.0912,2.95,1.15,0.0916,0.5
n=100_pi1=0.2_pi2=0.2,100,0.2,0.2,HistGradientBoostingRegressor,n=100_pi1=0.2_pi2=0.2.txt,2.7154,1.3818,0.1638,2.8,1.4,0.1378,0.1765
n=100_pi1=0.2_pi2=0.2,100,0.2,0.2,PoissonRandomForestRegressor,n=100_pi1=0.2_pi2=0.2.txt,2.9282,1.4582,0.0983,3.1,1.5,0.0454,0.15
n=200_pi1=0.3_pi2=0.3,200,0.3,0.3,ZKIPModel_EM,n=200_pi1=0.3_pi2=0.3.txt,3.5269,1.5476,0.1578,4.85,4.85,-0.1582,0.55
n=200_pi1=0.3_pi2=0.3,200,0.3,0.3,ZkICMP,n=200_pi1=0.3_pi2=0.3.txt,3.8202,1.4992,0.0877,4.325,1.325,-0.0328,0.55
