,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique,r_hat,p0_nb,pk_nb,zero_inflated,k_inflated,POISSON_MSE,POISSON_MAE,POISSON_R2,POISSON_LLF,POISSON_AIC,POISSON_BIC,NEGATIVE_BINOMIAL_MSE,NEGATIVE_BINOMIAL_MAE,NEGATIVE_BINOMIAL_R2,NEGATIVE_BINOMIAL_LLF,NEGATIVE_BINOMIAL_AIC,NEGATIVE_BINOMIAL_BIC,ZK_HURDLE_POISSON_MSE,ZK_HURDLE_POISSON_MAE,ZK_HURDLE_POISSON_R2,ZK_HURDLE_POISSON_LLF,ZK_HURDLE_POISSON_AIC,ZK_HURDLE_POISSON_BIC,ZINB_MSE,ZINB_MAE,ZINB_R2,ZINB_LLF,ZINB_AIC,ZINB_BIC,ZIP_MSE,ZIP_MAE,ZIP_R2,ZIP_LLF,ZIP_AIC,ZIP_BIC,ZKINB_MSE,ZKINB_MAE,ZKINB_R2,ZKINB_LLF,ZKINB_AIC,ZKINB_BIC,ZKIP_MSE,ZKIP_MAE,ZKIP_R2,ZKIP_LLF,ZKIP_AIC,ZKIP_BIC
0,-2.0,-2.0,-2.0,0.7952380952380952,0.09523809523809523,0.10952380952380958,0.4142857142857143,0.9253400845331116,4,0.38833679466218884,0.754321217781508,0.02226229261746426,True,True,0.9569676549404514,0.7002650727142975,0.08849506055766043,-191.0434923123816,386.0869846247632,392.78119968619814,0.9524179483483224,0.7000030667807796,0.09282862398619363,-164.6461013989525,335.292202797905,345.33352539005745,0.9339375419703929,0.6920180811754094,0.11043108067260343,-138.62308839438236,285.2461767887647,298.6346069116346,0.9746332880419749,0.7071759871550365,0.07166866966839192,-157.59748017803574,325.1949603560715,341.93049800965883,0.973096604325341,0.7065954797585156,0.07313235006640872,-156.9770593979944,321.9541187959888,335.34254891885865,0.9728864275038832,0.7067996601543365,0.07333254200594397,-138.03471963489375,290.0694392697875,313.4991919848098,0.9434460887176331,0.7001388418694928,0.10137425698343994,-139.85374763955517,291.70749527911033,311.7901404634151
1,-2.0,-2.0,-1.0,0.6095238095238096,0.14285714285714285,0.24761904761904757,0.7523809523809524,1.1091697173275195,5,1.1845677414667586,0.5585034071458057,0.04495826169763604,True,True,1.316024859201377,0.9238833106767752,0.08294895392884116,-257.20783157575727,518.4156631515145,525.1098782129495,1.3168943274326543,0.9248210849235706,0.082343078784885,-244.8980414088216,495.7960828176432,505.8374054097956,1.3126448930981496,0.9202421808028032,0.08530422968900475,-220.62172076748834,449.2434415349767,462.63187165784655,1.3134578282728655,0.9212788126521793,0.08473774870868822,-238.07335625806127,486.14671251612253,502.8822501697099,1.3132144383667572,0.9210294101101443,0.08490735110368808,-237.1179713832615,482.235942766523,495.6243728893929,1.3119438976662414,0.9193018387499359,0.0857927072353275,-220.37726859941966,454.75453719883933,478.1842899138616,1.3265698646462882,0.9417213233820234,0.07560083416767616,-222.02303766791175,456.0460753358235,476.1287205201283
2,-2.0,-2.0,0.0,0.4714285714285714,0.14761904761904762,0.38095238095238093,1.2190476190476192,1.702691100395932,9,0.8845121210947088,0.4647307135419011,0.0724807499164668,True,True,2.668789078265503,1.1997088726094736,-0.5309625732259613,-320.59151728403515,645.1830345680703,651.8772496295053,3.0586163156767054,1.2406818807227937,-0.7545886796728978,-299.6251342045333,605.2502684090666,615.291591001219,7.282915838138179,1.4583677938505326,-3.1778766493568877,-283.5542833019048,575.1085666038095,588.4969967266794,2.682496790856366,1.2137939847009707,-0.538826062743383,-293.32807858185356,596.6561571637071,613.3916948172945,2.9254405878692977,1.2312894957355422,-0.6781918386502346,-294.8960083027152,597.7920166054304,611.1804467283002,2.139095757662597,1.1626189277788348,-0.2271016740132461,-280.9624805540275,575.924961108055,599.3547138230772,5.4906525015097225,1.399449460923913,-2.149736916588439,-286.8082667195636,585.6165334391272,605.6991786234321
3,-2.0,-2.0,1.0,0.29523809523809524,0.2523809523809524,0.45238095238095233,2.3333333333333335,2.4127518751096835,12,1.5608901082152122,0.2400218971053745,0.12248677825058105,True,True,8.054276208410824,2.187575844751395,0.07534954804513194,-468.61543944256584,941.2308788851317,947.9250939465667,7.935284855153166,2.166953292466082,0.08901004412465785,-418.6112395841702,843.2224791683404,853.2638017604928,8.022219572474112,2.1826663350988804,0.07902972763421545,-371.6901930893973,751.3803861787947,764.7688163016645,7.314848111173247,2.0496336049147788,0.16023768778695935,-384.8165641587158,779.6331283174316,796.3686659710189,7.524813499401824,2.080804828396572,0.1361331517496065,-390.12819771819056,788.2563954363811,801.644825559251,7.170662414121556,2.017317662032547,0.17679055566663937,-358.82569927273744,731.6513985454749,755.0811512604971,8.468086881371468,2.2138650765326946,0.02784307870189795,-376.13369267670055,764.2673853534011,784.350030537706
4,-2.0,-2.0,2.0,0.19523809523809524,0.16666666666666666,0.6380952380952382,7.847619047619047,14.143678962385387,35,0.3204286942882618,0.35428543006433155,0.05141330921997431,False,True,74.96931126970695,5.397084620288024,0.22961980124982562,-1246.8888795833516,2497.777759166703,2504.471974228138,75.63506434671746,5.408111838846888,0.22277856209343583,-605.6190497437244,1217.2380994874488,1227.2794220796013,86.6475553777112,5.527540708219728,0.10961485703190155,-552.8626475529221,1113.7252951058442,1127.1137252287142,72.81742221666971,5.368477119619801,0.25173248560413697,-599.3607248057895,1208.721449611579,1225.4569872651662,73.25023188943139,5.374917599621173,0.24728495906192804,-825.5018425094926,1659.0036850189852,1672.3921151418551,72.43095876008252,5.363612085177018,0.2557037611761406,-515.909923670834,1045.819847341668,1069.2496000566903,105.37181898758683,5.678480035121893,-0.0827945659296152,-556.5612527808903,1125.1225055617806,1145.2051507460853
5,-2.0,-1.0,-2.0,0.6238095238095238,0.319047619047619,0.05714285714285716,1.042857142857143,1.411867482487868,5,1.1441731215713666,0.47650993394421753,0.06641846429496541,True,True,1.6227686490509623,1.1865302583727841,-0.04279460986218164,-332.3098087734245,668.619617546849,675.313832608284,1.6242544556972374,1.1851069811410624,-0.043749392395686426,-290.2779987550488,586.5559975100977,596.59732010225,1.647151956448583,1.1889721886361089,-0.05846337542511115,-178.65541106213243,365.31082212426486,378.6992522471347,1.6215237219528875,1.1865617539555902,-0.041994617042315996,-259.30625554668904,528.6125110933781,545.3480487469654,1.6215966974034302,1.186477183606482,-0.0420415112231487,-253.49573064344045,514.9914612868808,528.3798914097508,1.6202080066284799,1.1873509357544076,-0.04114913555658006,-178.20341956197746,370.4068391239549,393.8365918389772,1.6507953368603112,1.2042957567240176,-0.060804619481834576,-179.71998487785626,371.4399697557125,391.5226149400173
6,-2.0,-1.0,-1.0,0.5904761904761905,0.2619047619047619,0.1476190476190476,0.9714285714285714,1.2974553148053345,4,1.3254553434276937,0.4825205312090635,0.06235973346636427,True,True,1.8471017849568807,1.2090226896066516,0.02625939094365526,-311.0170854764125,626.034170952825,632.72838601426,1.8483089273550597,1.2095539958826078,0.02562301909690945,-284.1161708059427,574.2323416118854,584.2736642040378,2.083074354234354,1.2453911538200146,-0.09813877444180097,-209.9355648784981,427.8711297569962,441.25955987986606,1.847713100208523,1.2099012119910093,0.025937122571491167,-264.6584951800521,539.3169903601042,556.0525280136916,1.8476581201829787,1.2098484652553987,0.025966106509461073,-261.2575026817939,530.5150053635878,543.9034354864576,1.8327375883188044,1.2091341183488347,0.03383179528914304,-206.66623850729428,427.33247701458856,450.76222972961085,1.9058262155621892,1.2146611831293035,-0.0046984930721598595,-208.75364733851922,429.50729467703843,449.5899398613432
7,-2.0,-1.0,0.0,0.40476190476190477,0.32857142857142857,0.26666666666666666,1.5809523809523809,1.5729833440289156,8,2.7978760408468637,0.28558190570448505,0.11420373223836447,True,True,3.1542943886323105,1.3078937093895346,0.1290637937032414,-355.7307639348558,715.4615278697116,722.1557429311466,3.137890976816128,1.3047373680310945,0.13359296045096025,-347.2208128474442,700.4416256948884,710.4829482870408,3.084356292489707,1.3130168238043,0.14837448973388934,-281.6074554557078,571.2149109114156,584.6033410342854,3.2377639027384566,1.3067121417661989,0.10601692077374247,-327.6773781696791,665.3547563393582,682.0902939929456,3.210094617428816,1.3036992736630213,0.1136567220761725,-322.8507342983041,653.7014685966082,667.089898719478,3.184698232895586,1.292639106112876,0.12066894987543497,-277.2934287615061,568.5868575230122,592.0166102380344,3.0662349689122674,1.3329273147062553,0.15337799126706564,-281.38139937715584,574.7627987543117,594.8454439386165
8,-2.0,-1.0,1.0,0.23333333333333334,0.44285714285714284,0.32380952380952377,2.5142857142857142,2.2673648288837547,14,2.406721289535902,0.1788152432262504,0.14361943348323192,True,True,10.43626841301081,2.065282913136903,0.1390006809322828,-419.02021227912314,842.0404245582463,848.7346396196813,10.40557589281226,2.0710798221550153,0.1415328349499465,-406.30575018383377,818.6115003676675,828.6528229598199,10.39733338788871,2.1112366897183965,0.14221284727290884,-316.5079189739206,641.0158379478412,654.404268070711,10.405996930835785,2.070281880940377,0.1414980990235396,-396.52342846088936,803.0468569217787,819.7823945753661,10.420736974442718,2.066612041422028,0.14028203529210326,-396.51884440337574,801.0376888067515,814.4261189296213,10.392887550901587,2.082735258204571,0.14257963188088474,-315.2050850295637,644.4101700591274,667.8399227741496,10.870900305376608,2.2116353119798995,0.10314325100018829,-321.6788457268029,655.3576914536058,675.4403366379106
9,-2.0,-1.0,2.0,0.16666666666666666,0.38095238095238093,0.45238095238095244,5.266666666666667,7.105852654381002,25,0.6133084129726931,0.24998689289625017,0.07741658607719869,False,True,34.74352518057402,4.592930659929252,-0.02372328206390506,-891.5495388445138,1787.0990776890276,1793.7932927504626,36.154177339976236,4.661275798363065,-0.06528836364293888,-565.285899895239,1136.571799790478,1146.6131223826305,53.43425645905061,5.25727819021452,-0.5744485371763288,-469.5051741933895,947.010348386779,960.3987785096489,33.29085091904212,4.497111070723383,0.019079987179962177,-601.1099803232895,1212.219960646579,1228.9554983001663,33.35662043783778,4.5032435212083755,0.01714207825185765,-743.9483807488668,1495.8967614977337,1509.2851916206037,33.74271881658079,4.525830395846419,0.005765630484049211,-444.413683920193,902.827367840386,926.2571205554083,104.06272636445519,6.147898087006316,-2.066224144517798,-474.31449971955874,960.6289994391175,980.7116446234223
10,-2.0,0.0,-2.0,0.4238095238095238,0.5571428571428572,0.01904761904761898,1.6904761904761905,1.4785240156928916,3,5.766661193212911,0.22707299848426768,0.13361592269707195,True,True,2.306388571996514,1.4654749205913244,-0.10047993833481161,-372.81250054528834,749.6250010905767,756.3192161520117,2.310588415181618,1.4650457669109136,-0.10248386916653551,-366.331244289565,738.66248857913,748.7038111712824,1.323481762474107e+99,3.834759425536053e+48,-6.314916515103833e+98,-156.31467759761205,320.6293551952241,334.01778531809396,2.266958630139258,1.4544094496184568,-0.08166617013006539,-325.98433814642385,661.9686762928477,678.7042139464351,2.2700071220338853,1.4553075508060394,-0.08312074036725203,-314.32925509285957,636.6585101857191,650.046940308589,2.2455233846080933,1.4467796035493163,-0.0714384669725232,-156.23429065370036,326.4685813074007,349.898334022423,2.3126984161074176,1.497094178231701,-0.10349064387783247,-161.57529014498678,335.15058028997356,355.23322547427836
11,-2.0,0.0,-1.0,0.41904761904761906,0.49523809523809526,0.08571428571428563,1.6333333333333333,1.4783390826806888,5,4.831590602734449,0.24486845038310182,0.12668196398614479,True,True,2.1648242268534568,1.4397779830723636,-0.030020925605791726,-372.944552500742,749.889105001484,756.583320062919,2.165641868333477,1.4394604606514827,-0.03040995849983341,-363.4409988019073,732.8819976038146,742.923320195967,2.2222212742746614,1.4478110584812078,-0.05733037603528879,-210.81912929691526,429.6382585938305,443.0266887167004,2.165222463256577,1.4399055488180217,-0.030210406037257664,-330.8841504131872,671.7683008263743,688.5038384799617,2.1651776364468907,1.4398252527072901,-0.030189077491765248,-321.41811417911913,650.8362283582383,664.2246584811081,2.089095339513622,1.3749131522992672,0.006010793581982088,-205.543623764275,425.08724752855,448.5170002435723,2.2365391985744068,1.4499845835126624,-0.06414282826907258,-209.90099758203692,431.80199516407384,451.88464034837864
12,-2.0,0.0,0.0,0.4,0.5,0.09999999999999998,1.6761904761904762,1.4640524351686373,6,6.012969619289112,0.22796890470894718,0.13299711536549802,True,True,1.9807709601236234,1.3443265689370232,0.022228973307249267,-370.61240548883933,745.2248109776787,751.9190260391136,1.9824489504543497,1.3408833211981541,0.021400664350037846,-364.4663367679442,734.9326735358884,744.9739961280408,2.1094939658809566,1.3417458797034836,-0.04131276272994988,-216.98619341765783,441.97238683531566,455.3608169581855,1.9639005461993835,1.3387253260956908,0.030556741774940277,-333.2853808630581,676.5707617261162,693.3062993797035,1.967429908891481,1.3395476929916494,0.028814537021086384,-323.8075504064769,655.6151008129538,669.0035309358236,1.9843699965960793,1.2830321696681966,0.020452375377643994,-210.00841453461769,434.01682906923537,457.44658178425766,2.248569910811099,1.3697208745033969,-0.10996503611249286,-216.72600700296726,445.45201400593453,465.5346591902393
13,-2.0,0.0,1.0,0.24285714285714285,0.5142857142857142,0.24285714285714288,2.295238095238095,1.8453293401616488,10,4.746042432737287,0.15378283617333666,0.16331813768091902,True,True,2.629270112191764,1.1825761745362406,-0.020904458499270584,-411.7436677952451,827.4873355904901,834.1815506519251,2.630037525830049,1.1821024935392295,-0.021202433211418237,-403.87420556763533,813.7484111352707,823.789733727423,3.8009137542984814,1.386811383963265,-0.47583535831540646,-287.208843811363,582.417687622726,595.8061177455959,2.591349789405983,1.1755875291234867,-0.006180590297131472,-386.7820638146125,783.564127629225,800.2996652828124,2.6005109126565396,1.1782374321799105,-0.00973771116044131,-381.8756816336663,771.7513632673326,785.1397933902025,2.7706087161697277,1.1895368966635405,-0.07578402765805992,-287.2501730751023,588.5003461502046,611.9300988652268,4.965068452275222,1.5157325719486494,-0.9278584182651499,-293.50024189134126,599.0004837826825,619.0831289669874
14,-2.0,0.0,2.0,0.21428571428571427,0.5095238095238095,0.2761904761904762,3.738095238095238,4.249736967990654,20,0.9756452358226143,0.21507340709308018,0.10253487101596197,False,True,13.957637939204755,2.546289518679729,-0.025542831682935585,-675.8876029621833,1355.7752059243667,1362.4694209858017,13.955876946180037,2.550560778788335,-0.025413442041148926,-511.2555199406901,1028.5110398813802,1038.5523624735326,14.994621686156506,2.79020059333663,-0.10173561250231478,-355.8543566718531,719.7087133437062,733.0971434665761,13.244284356386085,2.484319918332908,0.026871097987796855,-510.5417346895877,1031.0834693791753,1047.8190070327628,13.391986207501485,2.495131486440877,0.016018647501727767,-564.597641701224,1137.195283402448,1150.583713525318,13.585057471359121,2.6183081588524026,0.0018326619133637312,-344.4663178643698,702.9326357287396,726.3623884437618,28.17042647402569,3.7672506697624795,-1.0698329518020344,-367.12847575571107,746.2569515114221,766.339596695727
15,-1.0,-2.0,-2.0,0.7857142857142857,0.14761904761904762,0.06666666666666668,0.5190476190476191,1.076996997956236,4,0.42037911723278604,0.7131722816966497,0.028973761172059277,True,True,0.9649679190471901,0.7403670242869214,0.012602306179606004,-234.36777516978879,472.73555033957757,479.4297654010125,0.9644108093515565,0.7408356361119925,0.013172365367912331,-187.39606898781278,380.79213797562556,390.833460567778,9762.394313847648,11.173992610294942,-9988.312018969926,-136.86586271520173,281.73172543040346,295.1201555532733,0.959615152567767,0.7373389384625744,0.0180794926984702,-173.38191485686602,356.76382971373204,373.4993673673194,0.9598754822478166,0.7374934265001133,0.01781311189902568,-171.470334738414,350.940669476828,364.3290995996979,0.9815523876449365,0.747296925458044,-0.004367652845374437,-138.1509802569597,290.3019605139194,313.7317132289417,0.9984140450531593,0.7612916599560177,-0.02162124367491014,-138.65404077906538,289.30808155813077,309.39072674243556
16,-1.0,-2.0,-1.0,0.7238095238095238,0.1380952380952381,0.1380952380952381,0.580952380952381,1.0651589937338477,4,0.6096437488486217,0.6649418536540679,0.03297218625628238,True,True,0.9255815391888005,0.7555102813223349,-0.010950710279029607,-242.61988583144296,489.2397716628859,495.93398672432085,0.928157175474012,0.7554544321901774,-0.013763905250741226,-210.3976906645488,426.7953813290976,436.83670392125003,1.2409689113044806,0.8294272964239672,-0.35542720894906843,-176.3086372162711,360.6172744325422,374.0057045554121,0.9293334871586315,0.7553687482731847,-0.01504871170238875,-202.15207943163335,414.3041588632667,431.03969651685406,0.9295150590502342,0.7553333465276384,-0.015247030516032378,-200.92591137351624,409.8518227470325,423.24025286990235,0.8877952846258708,0.7199652857434583,0.03032068426785961,-174.0106926288306,362.0213852576612,385.4511379726835,0.926087483433903,0.762859162671337,-0.011503319284602798,-178.28765523138276,368.5753104627655,388.6579556470703
17,-1.0,-2.0,0.0,0.6095238095238096,0.1619047619047619,0.2285714285714285,0.8761904761904762,1.3065549726512011,7,0.9239547261264929,0.5399706918350099,0.05393964623393707,True,True,1.3393011715745693,0.958120830071529,0.024780700309779524,-301.88124922563077,607.7624984512615,614.4567135126965,1.333428150356871,0.9547214727712311,0.02905717207023939,-268.68049819292673,543.3609963858535,553.4023189780058,1.4155938661965979,0.9896950306785598,-0.030772232667425792,-233.85454702907663,475.70909405815325,489.0975241810231,1.2819216296442033,0.9304335710980896,0.0665619201619877,-249.58437298113597,509.16874596227194,525.9042836158593,1.2936283464270004,0.9357259109798943,0.05803761182499945,-247.73201039104055,503.4640207820811,516.852450904951,1.2440640740701978,0.9074802852475018,0.09412810140519556,-228.9741250709261,471.9482501418522,495.3780028568745,1.4215847565007609,0.9786667447085443,-0.03513453143259304,-238.6140223723814,489.2280447447628,509.3106899290676
18,-1.0,-2.0,1.0,0.43333333333333335,0.19047619047619047,0.3761904761904762,2.080952380952381,3.4067367887702757,17,0.45463588824614354,0.4577759209594011,0.06846317136443134,False,True,4.877610730659472,1.72257411646415,-0.6607947756669772,-531.5688779738507,1067.1377559477014,1073.8319710091364,5.5938924682595665,1.796187183460582,-0.9046840553576225,-386.6028856380767,779.2057712761534,789.2470938683058,10.608514919462328,2.1751345762918173,-2.6121304320334966,-343.46826558029136,694.9365311605827,708.3249612834526,4.9967901228084814,1.7305813826865561,-0.7013745846714319,-361.75495427891326,733.5099085578265,750.2454462114139,5.181409390827045,1.752281385072883,-0.7642362464037604,-374.76318421456716,757.5263684291343,770.9147985520042,5.2538828796528545,1.7647859196688325,-0.7889129986627481,-338.0111716461031,690.0223432922062,713.4520960072284,18.814474809627153,2.588290602116783,-5.406206480221107,-350.85275686967816,713.7055137393563,733.7881589236612
19,-1.0,-2.0,2.0,0.3238095238095238,0.18095238095238095,0.49523809523809526,4.59047619047619,6.695274686033424,27,0.5237188787975663,0.3031701177832908,0.07359029543925567,True,True,73.70157622696061,5.20650307545217,0.01051869305407005,-934.0746075313893,1872.1492150627787,1878.8434301242137,75.44379608937918,5.371974888278531,-0.012871498509057666,-527.011675981257,1060.023351962514,1070.0646745546665,76.80200215861491,5.506049328977844,-0.031106108747931405,-450.71736761281164,909.4347352256233,922.8231653484931,72.15285254799218,5.181291774440339,0.031311099518278374,-503.6017574616078,1017.2035149232156,1033.9390525768029,72.08203524374665,5.1295024558266835,0.03226185800061354,-579.3159842826708,1166.6319685653416,1180.0203986882116,71.23426322891393,5.133623914776729,0.04364363033402552,-441.41835751942386,896.8367150388477,920.26646775387,116.70029216781508,6.7901113122567365,-0.5667610318073588,-463.0262555499479,938.0525110998958,958.1351562842007
20,-1.0,-1.0,-2.0,0.7380952380952381,0.22380952380952382,0.03809523809523804,0.7095238095238096,1.2475448662113513,3,0.5944705378922986,0.6269012366910188,0.04139207981115601,True,True,1.5865662859292822,1.0513474595933734,-0.0048625315526771296,-284.2931852074438,572.5863704148876,579.2805854763226,1.5867264884280872,1.0513795864510982,-0.004963996893229128,-227.40534747532138,460.81069495064276,470.8520175427952,5.410420521945562e+75,7.753436888062797e+36,-3.4267265796981038e+75,-143.3065322805678,294.6130645611356,308.0014946840055,1.5871443285674924,1.0514727895405043,-0.0052286387830706715,-204.97676339006335,419.9535267801267,436.68906443371407,1.587229616747216,1.0514901726587895,-0.0052826566308896705,-201.15833669906715,410.3166733981343,423.70510352100416,1.566839164351721,1.0504999277313454,0.007631774865201391,-143.24251649467075,300.4850329893415,323.9147857043638,1.5807578317278244,1.0500484109760704,-0.0011837076390162071,-143.590905411753,299.181810823506,319.2644560078108
21,-1.0,-1.0,-1.0,0.6571428571428571,0.26666666666666666,0.0761904761904762,0.8761904761904762,1.310211919709942,3,0.913434747136764,0.5410031703788091,0.05388332017061401,True,True,1.9702220034138178,1.2436695406815388,-0.023262261326745692,-307.55679745232277,619.1135949046455,625.8078099660805,1.9713064300663206,1.243761446805223,-0.023825473425057586,-264.7080517276419,535.4161034552837,545.4574260474361,1.9705515329263343,1.2437936905721627,-0.023433407072538603,-172.22893835536877,352.45787671073754,365.8463068336074,1.9714990425146726,1.2436821726459233,-0.023925509385025023,-243.3812199448258,496.7624398896516,513.4979775432389,1.9715937346515264,1.2436806267415725,-0.023974689066258437,-239.5285580597519,487.0571161195038,500.44554624237367,2.0254280535169418,1.2440230448628071,-0.051934292990974074,-170.8589456965484,355.7178913930968,379.1476441081191,1.9726488466151235,1.2449055464590213,-0.024522676172255897,-173.82517882044988,359.65035764089976,379.73300282520455
