,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique,r_hat,p0_nb,pk_nb,zero_inflated,k_inflated,POISSON_MSE,POISSON_MAE,POISSON_R2,POISSON_LLF,POISSON_AIC,POISSON_BIC,NEGATIVE_BINOMIAL_MSE,NEGATIVE_BINOMIAL_MAE,NEGATIVE_BINOMIAL_R2,NEGATIVE_BINOMIAL_LLF,NEGATIVE_BINOMIAL_AIC,NEGATIVE_BINOMIAL_BIC,ZK_HURDLE_POISSON_MSE,ZK_HURDLE_POISSON_MAE,ZK_HURDLE_POISSON_R2,ZK_HURDLE_POISSON_LLF,ZK_HURDLE_POISSON_AIC,ZK_HURDLE_POISSON_BIC,ZK_HURDLE_NB_MSE,ZK_HURDLE_NB_MAE,ZK_HURDLE_NB_R2,ZK_HURDLE_NB_LLF,ZK_HURDLE_NB_AIC,ZK_HURDLE_NB_BIC,ZINB_MSE,ZINB_MAE,ZINB_R2,ZINB_LLF,ZINB_AIC,ZINB_BIC,ZIP_MSE,ZIP_MAE,ZIP_R2,ZIP_LLF,ZIP_AIC,ZIP_BIC,ZKINB_MSE,ZKINB_MAE,ZKINB_R2,ZKINB_LLF,ZKINB_AIC,ZKINB_BIC,ZKIP_MSE,ZKIP_MAE,ZKIP_R2,ZKIP_LLF,ZKIP_AIC,ZKIP_BIC
0,-2.0,-2.0,0.0,0.16428571428571428,0.13285714285714287,0.7028571428571428,1.6892857142857143,1.635436581844109,15,2.8960640430716564,0.26427068339031784,0.12166649591017613,False,True,2.632372773372214,1.0595245654348062,0.10531136856684564,-2322.922823271941,4649.845646543882,4660.334101575088,2.6343530320654662,1.0604912867464684,0.1046383199173263,-2289.955204128365,4585.91040825673,4601.64309080354,2.672458874884388,1.060013226486653,0.09168693829458108,-2459.375543306087,4926.751086612174,4947.727996674587,2.6863803791784204,1.0609233558554334,0.08695530919162453,-2785.6845019066322,5581.3690038132645,5607.590141391282,2.709179530670396,1.0521127023042156,0.07920635286882316,-2217.1459914478173,4444.291982895635,4470.513120473652,2.7089184935261144,1.0532386943802852,0.07929507395260471,-2207.236925226567,4422.473850453134,4443.450760515548,2.733548447623385,1.0605599209963665,0.07092386598903078,-2191.144789328542,4396.289578657084,4432.999171266308,2.62508153853843,1.0563742344839198,0.10778950729434011,-2297.2482495554113,4606.496499110823,4637.9618642044425
1,-2.0,-2.0,1.0,0.135,0.11857142857142858,0.7464285714285714,3.1471428571428572,3.833721242380647,30,0.8575127048391228,0.26671389837295434,0.09819938965781524,False,True,15.22240931421257,2.3686423886931327,0.20942159468430188,-3559.5740376839217,7123.148075367843,7133.63653039905,15.18135226850662,2.3676999943915202,0.21155389930515311,-3015.5243047134363,6037.048609426873,6052.7812919736825,15.219901757377256,2.3672675670777372,0.20955182507314385,-3004.1427967214195,6016.285593442839,6037.262503505252,15.333194898074392,2.361817749136417,0.2036679266273227,-3300.639759882665,6611.27951976533,6637.5006573433475,16.01917715187573,2.3578779150425166,0.1680413221200595,-2833.364830076717,5676.729660153434,5702.9507977314515,15.863070077609176,2.3606752253796035,0.1761487694554117,-2946.2429302743503,5900.485860548701,5921.462770611114,16.677743845364116,2.3674233364281805,0.13383854937987494,-2780.5848918428983,5575.169783685797,5611.87937629502,20.16541622077459,2.5941084808512587,-0.04729430599810103,-2962.6419699710514,5937.283939942103,5968.7493050357225
2,-2.0,-2.0,2.0,0.16071428571428573,0.11714285714285715,0.7221428571428572,7.195,10.38018418580502,60,0.514832076775261,0.24824300690695403,0.06595116814348437,False,True,82.00445761301101,5.706921803394397,0.09933862524431358,-7256.3325233825,14516.665046765,14527.153501796207,85.8109536125048,5.794466482024201,0.057531581826198774,-4023.012815342389,8052.025630684778,8067.758313231588,80.7282759340142,5.6491783946884615,0.11335502848506762,-3747.343081873484,7502.686163746968,7523.663073809382,80.03850243829305,5.621798909890776,0.12093086476287118,-4001.9699896864977,8013.939979372995,8040.161116951012,78.27001793232925,5.535189334249476,0.14035426847455856,-3826.565193883045,7663.13038776609,7689.351525344107,78.2226813847105,5.5324443738131075,0.14087416948110754,-4692.13066202965,9392.2613240593,9413.238234121713,77.12261706566008,5.4179737462683075,0.15295626197650902,-3472.243782142795,6958.48756428559,6995.197156894814,166.47509098240334,6.815986802217191,-0.828408950820253,-3786.0665930408077,7584.133186081615,7615.598551175235
3,-2.0,-1.0,0.0,0.14857142857142858,0.2864285714285714,0.565,1.8057142857142856,1.4124824632092554,12,17.216127378487588,0.17957561953433746,0.15429182942034778,False,True,1.6328628092040114,1.0388455546951112,0.0037292764050634863,-2302.0982397147363,4608.196479429473,4618.684934460679,1.6329081494721989,1.0387538516742496,0.0037016126101991897,-2300.5238782655365,4607.047756531073,4622.780439077883,1.6685143281636712,1.0174126423086833,-0.018023049871823016,-2325.4261816293993,4658.8523632587985,4679.829273321212,1.665278522528845,1.0181828868492797,-0.01604876372662467,-2592.712922908946,5195.425845817892,5221.646983395909,1.6845286140871316,1.022114256400165,-0.027793965183807945,-2235.571671615542,4481.143343231084,4507.364480809101,1.6874456273195935,1.021103858401996,-0.029573744150821923,-2203.5644183415093,4415.128836683019,4436.105746745432,1.7083436605511708,1.0190770294918832,-0.04232441651103325,-2099.318080178983,4212.636160357966,4249.34575296719,1.648434859725899,1.0320902540782424,-0.0057718145340219795,-2213.7083970335034,4439.416794067007,4470.8821591606265
4,-2.0,-1.0,1.0,0.155,0.255,0.59,2.6514285714285712,2.719938971330174,22,1.4810633004010487,0.21876676216051646,0.12318483502963147,False,True,7.078909786814444,1.7167800079309272,0.07547109758162607,-3142.95893895865,6289.9178779173,6300.406332948506,7.105559269689642,1.7252448064738959,0.07199058746147802,-2864.0413503135414,5734.082700627083,5749.815383173893,6.747773434246625,1.6910892879252595,0.11871859441519106,-2687.5357773723126,5383.071554744625,5404.048464807039,6.755696760124415,1.6777139187113905,0.1176837819938008,-2967.8606028897048,5945.7212057794095,5971.942343357427,6.703996428899098,1.6564622077674274,0.12443601530682336,-2686.725870352963,5383.451740705926,5409.672878283943,6.72171789490738,1.6547433675851764,0.1221215335559187,-2743.697812882393,5495.395625764786,5516.3725358271995,6.866873555696134,1.6781970083923476,0.10316372680454444,-2503.5076694965137,5021.015338993027,5057.724931602251,13.735967184506407,2.194997230241043,-0.7939624952419797,-2695.933544886464,5403.867089772928,5435.332454866548
5,-2.0,-1.0,2.0,0.15142857142857144,0.2757142857142857,0.5728571428571428,5.551428571428572,7.3340734041066336,48,0.6388919039245968,0.23435273180130764,0.07783822690013606,False,True,54.199375892655034,4.571528997270793,0.039423081978207986,-6096.719493113592,12197.438986227184,12207.92744125839,56.708077351044814,4.698282836387909,-0.005038697801499792,-3799.2231270847433,7604.446254169487,7620.178936716296,52.92734699581366,4.588735976134721,0.061967282483072816,-3331.4465283238405,6670.893056647681,6691.869966710095,52.75671890340703,4.572881452722195,0.0649913285063427,-3554.258610771942,7118.517221543884,7144.738359121901,51.4238249152439,4.445413402183475,0.08861424257338502,-3885.7718912086525,7781.543782417305,7807.764919995322,51.42912499397434,4.4131704381935,0.08852030914318754,-4754.040854891963,9516.081709783926,9537.058619846339,51.006761959824885,4.361509656518348,0.0960058599442366,-3121.5652694482683,6257.130538896537,6293.84013150576,155.592205606992,6.292792596912046,-1.7575646189393033,-3377.306567365995,6766.61313473199,6798.0784998256095
6,-2.0,0.0,1.0,0.155,0.48,0.365,2.4085714285714284,1.8046673550070444,15,6.839017915828727,0.12701373673590716,0.17723595859846664,True,True,3.2731251750756454,1.2905714388370049,6.019790695788174e-05,-2670.3231339366366,5344.646267873273,5355.1347229044795,3.273307705609718,1.290189802942137,4.434825390919883e-06,-2646.5007778692047,5299.0015557384095,5314.734238285219,3.1164667664569796,1.2128533476315115,0.04791934466468595,-2142.326797256058,4292.653594512116,4313.630504574529,3.1115809540130326,1.2161522701068763,0.04941196045752716,-2302.3275138531794,4614.655027706359,4640.876165284376,3.1209482902114525,1.239624926323595,0.04655023907402689,-2512.1395139451456,5034.279027890291,5060.500165468308,3.117815070307314,1.239838940015499,0.04750743781323663,-2479.1230312405555,4966.246062481111,4987.2229725435245,3.0938965332658572,1.2030215743942143,0.05481455132594759,-2018.1058059983438,4050.2116119966877,4086.921204605911,4.218671775530828,1.4244353862302852,-0.288804306184931,-2204.7863111140614,4421.572622228123,4453.037987321743
7,-2.0,0.0,2.0,0.16428571428571428,0.48642857142857143,0.3492857142857143,3.744285714285714,4.162741430315394,27,1.0320627815509684,0.20571968914745287,0.10503280399498195,False,True,27.216913654085165,2.856138962896379,0.002913189363500379,-4272.387046309948,8548.774092619897,8559.262547651104,27.124814527192733,2.854779986302646,0.006287224563182092,-3380.623052749088,6767.246105498176,6782.978788044986,25.9726829851189,3.0004653905623857,0.048495359523689774,-2433.059416874632,4874.118833749264,4895.0957438116775,25.98344436954199,2.989247803101202,0.048101118111572805,-2620.151599183877,5250.303198367754,5276.524335945771,26.396622082070866,2.839687030440035,0.03296442580150749,-3373.820659745067,6757.641319490134,6783.862457068151,26.544474500821547,2.8307810998693936,0.02754787863048469,-3716.537428611562,7441.074857223124,7462.051767285538,25.903602279165437,2.944057504237745,0.051026118949651256,-2342.8693699563037,4699.738739912607,4736.448332521831,44.19465697071772,4.062721822644146,-0.6190634296807176,-2533.0171156925117,5078.034231385023,5109.499596478643
8,-2.0,1.0,2.0,0.16214285714285714,0.6728571428571428,0.16500000000000004,2.8385714285714285,2.2013572301312845,20,4.013888024243689,0.11685550757430685,0.1675533882877754,True,True,3.216194498354115,1.078537108048767,0.03158757690099212,-2912.2154626998863,5828.430925399773,5838.919380430979,3.2121711526847374,1.0857584666921483,0.03279902662228251,-2842.01513946471,5690.03027892942,5705.76296147623,3.148063534539946,1.0534302450921018,0.052102154545196955,-1557.2566552927597,3122.5133105855193,3143.490220647933,3.1339404676988036,1.0487603023182397,0.05635468137099031,-1637.8520293542128,3285.7040587084257,3311.9251962864423,3.030475796828228,0.9823686131244191,0.08750841684133925,-2710.544641297182,5431.089282594364,5457.310420172381,3.0292459664209037,0.9897220538371098,0.08787872499445848,-2709.098084012984,5426.196168025968,5447.173078088382,3.069230943392743,1.0724711034892456,0.07583904628203209,-1508.1606583263283,3030.3213166526566,3067.03090926188,15.4599241894503,2.409875683691708,-3.655061331923249,-1691.620957711587,3395.241915423174,3426.707280516794
9,-1.0,-2.0,0.0,0.2978571428571429,0.12714285714285714,0.5750000000000001,1.2721428571428572,1.2708064144953939,10,4.720883074039241,0.3241965171066512,0.09380779564057987,False,True,1.5954161659513288,0.944053433980544,-0.0018119654820480946,-2104.3269544499753,4212.653908899951,4223.142363931157,1.5954241510661145,0.9440649660187913,-0.001816979586648948,-2086.4393685733066,4178.878737146613,4194.611419693423,1.613883843686729,0.9448629467003,-0.013408400897981343,-2251.214213864795,4510.42842772959,4531.405337792004,1.6133755273229533,0.9437924184422305,-0.013089213073294026,-2533.437133031732,5076.874266063464,5103.095403641481,1.6558920427383184,0.9379479663456709,-0.039786669688519405,-1975.6371630158858,3961.2743260317716,3987.495463609788,1.6556527765478484,0.9401732440489758,-0.03963642692574454,-1961.1588932176637,3930.3177864353274,3951.294696497741,1.6493259499962194,0.9406304197878054,-0.0356636136383901,-1943.0873499335994,3900.174699867199,3936.884292476422,1.5950015969059737,0.9434216650453755,-0.0015516445457188777,-2094.075376141298,4200.150752282596,4231.616117376216
