,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique,r_hat,p0_nb,pk_nb,zero_inflated,k_inflated,POISSON_MSE,POISSON_MAE,POISSON_R2,POISSON_LLF,POISSON_AIC,POISSON_BIC,NEGATIVE_BINOMIAL_MSE,NEGATIVE_BINOMIAL_MAE,NEGATIVE_BINOMIAL_R2,NEGATIVE_BINOMIAL_LLF,NEGATIVE_BINOMIAL_AIC,NEGATIVE_BINOMIAL_BIC,ZK_HURDLE_POISSON_MSE,ZK_HURDLE_POISSON_MAE,ZK_HURDLE_POISSON_R2,ZK_HURDLE_POISSON_LLF,ZK_HURDLE_POISSON_AIC,ZK_HURDLE_POISSON_BIC,ZK_HURDLE_NB_MSE,ZK_HURDLE_NB_MAE,ZK_HURDLE_NB_R2,ZK_HURDLE_NB_LLF,ZK_HURDLE_NB_AIC,ZK_HURDLE_NB_BIC,ZINB_MSE,ZINB_MAE,ZINB_R2,ZINB_LLF,ZINB_AIC,ZINB_BIC,ZIP_MSE,ZIP_MAE,ZIP_R2,ZIP_LLF,ZIP_AIC,ZIP_BIC,ZKINB_MSE,ZKINB_MAE,ZKINB_R2,ZKINB_LLF,ZKINB_AIC,ZKINB_BIC,ZKIP_MSE,ZKIP_MAE,ZKIP_R2,ZKIP_LLF,ZKIP_AIC,ZKIP_BIC
0,-2.0,-2.0,0.0,0.19523809523809524,0.10952380952380952,0.6952380952380952,1.5952380952380953,1.5963403692879425,10,2.670107464453626,0.2863070917509638,0.11424287489743006,False,False,2.7194607204792303,1.0347913613079092,0.09111933339322664,-347.38012640491434,698.7602528098287,705.4544678712637,2.7201247043439087,1.0350744550805935,0.09089742097765074,-340.7489738433034,687.4979476866068,697.5392702787592,2.8005530204113813,1.0607605095553754,0.06401718660949896,-361.6770024964175,731.354004992835,744.7424351157049,2.829579961067864,1.0647461846091721,0.054315989245350194,-409.1871975711849,828.3743951423698,845.1099327959572,2.9110002911208386,1.0674264173498695,0.02710421034499133,-325.27292084695415,660.5458416939083,677.2813793474957,2.8919513156716428,1.0674009126219342,0.03347063636985048,-323.899723820682,655.799447641364,669.1878777642339,2.8439330273575645,1.065689090043283,0.0495189997690928,-321.9000146778197,657.8000293556394,681.2297820706616,2.6077287793928123,1.022304015291345,0.1284616639263172,-342.4728287721972,696.9456575443944,717.0283027286993
1,-2.0,-2.0,1.0,0.17142857142857143,0.10952380952380952,0.7190476190476189,3.4380952380952383,4.793184574381843,20,0.6050461891289082,0.3168684527993477,0.08215162436667692,False,True,11.714182023521683,2.3254153843692422,-0.2315513581741271,-614.9950862108234,1233.9901724216468,1240.6843874830818,11.277288968737263,2.3171917965121445,-0.18561932178300777,-474.59968168110413,955.1993633622083,965.2406859543606,12.54594202438678,2.324935860107953,-0.31899708478853794,-472.2369633181303,952.4739266362606,965.8623567591304,11.369518178533385,2.2837701700774704,-0.1953156888327654,-510.48138668372206,1030.9627733674442,1047.6983110210315,9.611570499310453,2.1969715779216754,-0.01049673625043357,-457.09040032640485,924.1808006528097,940.916338306397,9.938437891256157,2.21578111444637,-0.044861404622945855,-491.0719884740402,990.1439769480804,1003.5324070709503,8.686878061066135,2.106731499742005,0.08671929009493551,-438.3740277308541,890.7480554617082,914.1778081767304,28.921933601669465,2.8885219580749757,-2.040660161899184,-468.18374039544847,948.3674807908969,968.4501259752018
2,-2.0,-2.0,2.0,0.18571428571428572,0.14761904761904762,0.6666666666666666,5.914285714285715,6.898601599803347,27,0.8392941841323577,0.17374749221958485,0.08524087037023727,True,True,83.32001797081293,5.549522944140961,0.11986929526963708,-951.6336833094908,1907.2673666189817,1913.9615816804167,76.38791370927889,5.4213877247330355,0.1930948892812171,-588.0407002580707,1182.0814005161415,1192.122723108294,73.26193199681606,5.265854907965511,0.226115435298477,-521.8270519689484,1051.6541039378967,1065.0425340607667,73.5005508353896,5.26665589223995,0.22359484334866198,-575.5175815572065,1161.035163114413,1177.7707007680003,81.94875035541146,5.29644028003517,0.13435434654675038,-555.7007623661949,1121.4015247323898,1138.137062385977,86.13003827604295,5.379730120254741,0.09018633057782566,-660.9320286381458,1329.8640572762915,1343.2524873991615,84.99969689078212,5.137514547105937,0.10212641633661668,-487.79632481104056,989.5926496220811,1013.0224023371034,74.64203903831053,5.326307963520061,0.21153701089800014,-527.3680366689424,1066.7360733378848,1086.8187185221896
3,-2.0,-1.0,1.0,0.1523809523809524,0.22857142857142856,0.6190476190476191,2.8476190476190477,4.667470555373797,16,0.4281908767713185,0.4184231802103527,0.06802374808643913,False,True,7.4693581473515955,1.9984017438871868,-0.3327562118589287,-519.6978760533442,1043.3957521066884,1050.0899671681234,6.878881007557545,1.9397661328568123,-0.2273974835055097,-427.79577817919596,861.5915563583919,871.6328789505443,7.558747484994956,2.0258266002184553,-0.348705935070472,-419.039992356604,846.079984713208,859.4684148360778,6.703765307826401,1.942088947051852,-0.19615162114269635,-457.43882388976704,924.8776477795341,941.6131854331214,6.596672872669731,1.9272426939735816,-0.17704313747080858,-426.8128722311635,863.625744462327,880.3612821159144,6.544047711015265,1.9200230491948935,-0.1676532394753647,-471.0729730304411,950.1459460608822,963.5343761837521,6.818854528762122,1.9811142178203274,-0.21668696984256752,-390.0995382160273,794.1990764320547,817.6288291470769,18.28295178553954,2.6012091880485047,-2.2622237523762068,-408.57544739772106,829.1508947954421,849.233539979747
4,-2.0,-1.0,2.0,0.1380952380952381,0.3,0.5619047619047619,5.514285714285714,6.727952525184364,27,0.7649443146071169,0.19981557373926492,0.08419259911185811,False,True,51.18020686938316,4.889554060692492,0.04444329687142601,-902.9725222276747,1809.9450444553495,1816.6392595167845,52.57889461684674,4.963523670020048,0.018329188812356123,-578.1188808764277,1162.2377617528555,1172.279084345008,46.106049836060215,4.5063198734883585,0.13918001370988964,-485.1329238847653,978.2658477695306,991.6542778924005,46.213469013245714,4.497996357332556,0.13717445099174508,-517.7284014680428,1045.4568029360855,1062.1923405896728,46.55274452069505,4.545766406590486,0.13084002983205845,-607.5939244780157,1225.1878489560313,1241.9233866096185,47.19736490120542,4.566638741995391,0.11880468720161552,-740.002055661128,1488.004111322256,1501.392541445126,47.90512075866115,4.354908271831029,0.1055905777804419,-458.165365041939,930.330730083878,953.7604827989003,210.84281321623578,7.599332678252425,-2.9365269466267825,-508.48439255772564,1028.9687851154513,1049.051430299756
5,-2.0,0.0,1.0,0.1523809523809524,0.4714285714285714,0.3761904761904762,2.6285714285714286,2.2015963884311254,12,3.1145040318321056,0.1486972831721649,0.15573544895393882,True,True,4.037634680042689,1.3110854409763504,-0.053601395198150215,-437.3493707099938,878.6987414199876,885.3929564814226,4.049462186584333,1.3136897082754797,-0.056687726275993056,-421.7898399088898,849.5796798177796,859.621002409932,4.154105766560689,1.3303960558116026,-0.0839939663394087,-350.6949364313889,709.3898728627778,722.7783029856477,4.144371255878091,1.3272726986195258,-0.08145379248775919,-370.2295582534639,750.4591165069278,767.1946541605151,3.9339349994226724,1.2665302434947656,-0.026541461142477685,-403.72215136111646,817.4443027222329,834.1798403758203,3.927914220694573,1.264415211855054,-0.024970367824040718,-405.60808339069575,819.2161667813915,832.6045969042614,4.096422583717383,1.316405728766857,-0.06894181656875764,-330.9125798710642,675.8251597421284,699.2549124571507,6.9206407630625435,1.7580126539214933,-0.8059079984796433,-350.7304583789542,713.4609167579084,733.5435619422133
6,-2.0,0.0,2.0,0.15714285714285714,0.5,0.34285714285714286,3.723809523809524,4.106233417891086,19,1.0555221852180916,0.20308750374942308,0.10613723769012894,False,True,20.106997007462798,2.8839149607183887,-0.008737214847690078,-638.96310397291,1281.92620794582,1288.6204230072549,20.09066938749375,2.8841698171861725,-0.007918083184888403,-505.4044338401892,1016.8088676803784,1026.8501902725309,19.08222520309649,2.987584200791634,0.04267401555171968,-360.5856442761997,729.1712885523993,742.5597186752692,19.053022252331903,2.97327773438425,0.04413908282201717,-386.6785323048663,783.3570646097326,800.0926022633199,19.418045405516764,2.8630908380660403,0.025826430825204527,-517.0585063094886,1044.1170126189772,1060.8525502725645,19.49177130045525,2.8608138977603366,0.022127715701568684,-570.5477617359057,1149.0955234718115,1162.4839535946815,18.381294341473954,2.9178836031100497,0.07783864231778925,-348.32273013527225,710.6454602705445,734.0752129855667,31.889021848985614,3.8843579410405935,-0.5998233387225216,-374.8111211651883,761.6222423303766,781.7048875146814
7,-2.0,1.0,2.0,0.1619047619047619,0.6857142857142857,0.1523809523809524,2.861904761904762,2.159872446720319,12,4.542342623680761,0.10867013613405274,0.1722615197923012,True,True,2.9843520965737778,0.9098370244332289,0.04002017464566143,-435.30289107085383,874.6057821417077,881.2999972031427,2.9783241146122257,0.9177937878080553,0.04195920224141114,-426.31613403163226,858.6322680632645,868.6735906554169,2.991512284526758,0.9017965633467998,0.03771694910183321,-222.49176246399634,452.9835249279927,466.37195505086254,3.00253336036521,0.902171012449749,0.0341717875001708,-237.1467851477372,484.2935702954744,501.02910794906177,2.9409668208797237,0.8574967060051719,0.05397596405520977,-407.3451269122726,824.6902538245452,841.4257914781325,2.938095772068972,0.8631628720566631,0.054899497487841065,-406.62851455879667,821.2570291175933,834.6454592404632,2.9809803586244716,0.9622562157705695,0.041104765304863955,-214.73070274355572,443.46140548711145,466.89115820213374,7.638398730191248,1.9421792484124663,-1.457052131152421,-242.3180653997236,496.6361307994472,516.718775983752
8,-1.0,-2.0,-2.0,0.36666666666666664,0.1523809523809524,0.4809523809523809,0.9619047619047619,1.0016618681288312,4,22.337566137566206,0.3899370745434843,0.05801895256570142,False,True,0.822566163464982,0.6175311853576103,-0.0058553629327227075,-270.6313625212906,545.2627250425812,551.9569401040162,0.8225455699937202,0.6175072142058301,-0.0058301806988425575,-270.5552717078315,547.110543415663,557.1518660078153,0.822729710966578,0.617638289151303,-0.0060553530841307435,-294.6001659944942,597.2003319889884,610.5887621118583,0.8227088750754356,0.6176180153223072,-0.0060298744128968185,-333.7394692215477,677.4789384430954,694.2144760966828,0.8279236290631404,0.6216527619201442,-0.012406611626122777,-267.73981077035637,545.4796215407127,562.2151591943001,0.8317470569996462,0.6256369498838895,-0.017081999048480512,-265.9673193331881,539.9346386663761,553.323068789246,0.8203567494244541,0.6428287973670025,-0.0031536338070772274,-239.92147734542812,493.84295469085623,517.2727074058785,0.7950033066037935,0.6330214863006374,0.02784921746818725,-245.79349280727783,503.58698561455566,523.6696307988605
9,-1.0,-2.0,0.0,0.30952380952380953,0.10952380952380952,0.5809523809523809,1.3714285714285714,1.4091780009687271,8,3.061453366393284,0.32199216114015,0.10000909393574643,False,True,2.1980274887470266,1.0693098658433868,0.005417425906322992,-334.4052169032424,672.8104338064848,679.5046488679197,2.197828801493585,1.0695934208572706,0.005507329640911829,-327.88852999408846,661.7770599881769,671.8183825803293,2.231042479686091,1.0928192843252842,-0.009521484020855286,-340.09310782403406,688.1862156480681,701.574645770938,2.2297239735554104,1.0904011934340265,-0.008924874911950154,-386.8125106821319,783.6250213642638,800.3605590178512,2.2249558136902845,1.083326672847159,-0.006767336511440902,-310.9300404483123,631.8600808966246,648.595618550212,2.227249174569601,1.084263425522858,-0.007805056366335217,-307.85756975798654,623.7151395159731,637.1035696388429,2.3540326570564685,1.1141667049997288,-0.06517314798935203,-299.27549881067995,612.5509976213599,635.9807503363821,2.2902528004505167,1.1094284196402169,-0.036313484366749416,-324.0502985764485,660.100597152897,680.1832423372018
