,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,1.0,-2.0,0.3238095238095238,0.6619047619047619,0.014285714285714346,2.0,1.4074307244120894,3
1,-2.0,1.0,0.0,0.26666666666666666,0.6904761904761905,0.04285714285714293,2.123809523809524,1.3355302020108066,4
2,-2.0,1.0,1.0,0.19047619047619047,0.7428571428571429,0.06666666666666665,2.380952380952381,1.2480104923874384,6
3,-2.0,2.0,1.0,0.21904761904761905,0.7571428571428571,0.023809523809523836,2.3047619047619046,1.249871262452453,4
4,-2.0,2.0,2.0,0.1619047619047619,0.8095238095238095,0.02857142857142858,2.5238095238095237,1.1623704380771054,5
5,-1.0,2.0,1.0,0.3238095238095238,0.6619047619047619,0.014285714285714346,2.0047619047619047,1.4057217970817029,4
6,-2.0,1.0,-2.0,0.23333333333333334,0.7476190476190476,0.01904761904761898,2.261904761904762,1.2803170175887904,3
7,-2.0,1.0,-1.0,0.24285714285714285,0.7047619047619048,0.052380952380952306,2.1666666666666665,1.3072610372292655,3
8,-2.0,1.0,0.0,0.24285714285714285,0.6952380952380952,0.06190476190476191,2.1666666666666665,1.299920252737403,4
9,-2.0,1.0,1.0,0.22380952380952382,0.6761904761904762,0.09999999999999998,2.1809523809523808,1.310837800549088,6
10,-2.0,2.0,1.0,0.17142857142857143,0.8095238095238095,0.01904761904761898,2.4571428571428573,1.1410443586022492,4
11,-2.0,2.0,2.0,0.12857142857142856,0.8238095238095238,0.04761904761904767,2.6095238095238096,1.076012825160027,5
12,-2.0,1.0,-1.0,0.24761904761904763,0.7142857142857143,0.03809523809523807,2.1809523809523808,1.310837800549088,3
13,-2.0,1.0,0.0,0.2619047619047619,0.7047619047619048,0.033333333333333326,2.157142857142857,1.3266035448241962,4
14,-2.0,1.0,1.0,0.20952380952380953,0.719047619047619,0.0714285714285714,2.376190476190476,1.4398314500987788,7
15,-2.0,2.0,2.0,0.14285714285714285,0.819047619047619,0.03809523809523818,2.5714285714285716,1.1226859697794285,7
16,-1.0,1.0,-1.0,0.3238095238095238,0.6619047619047619,0.014285714285714346,2.0047619047619047,1.405721797081703,4
17,-2.0,1.0,-1.0,0.23809523809523808,0.7333333333333333,0.02857142857142858,2.2333333333333334,1.2895729545487793,4
18,-2.0,1.0,0.0,0.2571428571428571,0.7,0.04285714285714293,2.1714285714285713,1.3230177398091167,5
19,-2.0,1.0,1.0,0.18095238095238095,0.7428571428571429,0.07619047619047614,2.376190476190476,1.1805459615673493,5
20,-2.0,2.0,1.0,0.19523809523809524,0.7666666666666667,0.03809523809523807,2.3904761904761904,1.2412005154390198,6
21,-2.0,2.0,2.0,0.18095238095238095,0.7952380952380952,0.023809523809523836,2.4523809523809526,1.1779956408149364,6
22,-2.0,1.0,-2.0,0.3142857142857143,0.6714285714285714,0.014285714285714346,2.0285714285714285,1.396901169606736,3
23,-2.0,1.0,-1.0,0.3142857142857143,0.6428571428571429,0.042857142857142816,1.980952380952381,1.3936352407730108,4
24,-2.0,1.0,0.0,0.20952380952380953,0.7285714285714285,0.06190476190476191,2.2666666666666666,1.2547835106870768,5
25,-2.0,1.0,1.0,0.21428571428571427,0.6904761904761905,0.09523809523809523,2.2666666666666666,1.2997362019184326,7
26,-2.0,2.0,0.0,0.20476190476190476,0.7761904761904762,0.01904761904761909,2.3476190476190477,1.2249866897505761,3
27,-2.0,2.0,1.0,0.18571428571428572,0.7952380952380952,0.01904761904761909,2.4095238095238094,1.1795322898824645,4
28,-2.0,2.0,2.0,0.10476190476190476,0.8666666666666667,0.02857142857142858,2.723809523809524,0.9927511249457801,6
29,-1.0,1.0,-1.0,0.3238095238095238,0.6571428571428571,0.01904761904761909,1.9952380952380953,1.405721797081703,4
30,-2.0,1.0,0.0,0.2523809523809524,0.7285714285714285,0.01904761904761909,2.2095238095238097,1.310211919709942,4
31,-2.0,1.0,1.0,0.19047619047619047,0.719047619047619,0.09047619047619049,2.357142857142857,1.2981663286400413,6
32,-2.0,2.0,0.0,0.20476190476190476,0.7714285714285715,0.023809523809523836,2.3380952380952382,1.2276621071204865,3
33,-2.0,2.0,1.0,0.22380952380952382,0.7619047619047619,0.014285714285714346,2.3,1.2605535352816257,3
