,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,0.0,-2.0,0.6685714285714286,0.33,0.0014285714285713902,0.9914285714285714,1.4111494373448548,3
1,-2.0,1.0,-2.0,0.64,0.36,0.0,1.08,1.441029674782983,2
2,-2.0,1.0,-1.0,0.6314285714285715,0.36857142857142855,0.0,1.1057142857142856,1.44828700693099,2
3,-2.0,1.0,0.0,0.6471428571428571,0.35285714285714287,0.0,1.0585714285714285,1.434601314631906,2
4,-2.0,1.0,1.0,0.6457142857142857,0.35428571428571426,5.551115123125783e-17,1.062857142857143,1.4359149086105623,2
5,-2.0,1.0,2.0,0.6328571428571429,0.36714285714285716,0.0,1.1014285714285714,1.4471117559088225,2
6,-2.0,2.0,-2.0,0.6485714285714286,0.3514285714285714,0.0,1.0542857142857143,1.4332736835196613,2
7,-2.0,2.0,-1.0,0.6228571428571429,0.37714285714285717,0.0,1.1314285714285715,1.4550531414315921,2
8,-2.0,2.0,0.0,0.6585714285714286,0.3414285714285714,0.0,1.0242857142857142,1.4235838747458969,2
9,-2.0,2.0,1.0,0.6085714285714285,0.3914285714285714,5.551115123125783e-17,1.1742857142857144,1.465256740141796,2
10,-2.0,2.0,2.0,0.6628571428571428,0.33714285714285713,5.551115123125783e-17,1.0114285714285713,1.4192164572553585,2
11,-1.0,0.0,-2.0,0.71,0.29,5.551115123125783e-17,0.87,1.3622595468417071,2
12,-1.0,0.0,-1.0,0.6957142857142857,0.30428571428571427,0.0,0.9128571428571428,1.3812997371410283,2
13,-1.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.8571428571428571,1.3562309369660515,2
14,-1.0,0.0,1.0,0.7085714285714285,0.2885714285714286,0.0028571428571428914,0.9942857142857143,2.904778053581402,4
15,-1.0,0.0,2.0,0.7042857142857143,0.2957142857142857,0.0,0.8871428571428571,1.3700684932776994,2
16,-1.0,1.0,-2.0,0.6871428571428572,0.31285714285714283,0.0,0.9385714285714286,1.391964766251059,2
17,-1.0,1.0,-1.0,0.69,0.31,5.551115123125783e-17,0.93,1.3884718496437798,2
18,-1.0,1.0,0.0,0.6814285714285714,0.31857142857142856,5.551115123125783e-17,0.9557142857142857,1.3987666460069768,2
19,-1.0,1.0,1.0,0.7171428571428572,0.28285714285714286,0.0,0.8485714285714285,1.3521289161035406,2
