,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,-2.0,-2.0,0.7428571428571429,0.21428571428571427,0.042857142857142844,0.6857142857142857,1.2340913120428436,3
1,-2.0,-1.0,-2.0,0.7857142857142857,0.2,0.01428571428571429,0.6142857142857143,1.20737896915396,3
2,-2.0,-1.0,-1.0,0.6142857142857143,0.35714285714285715,0.028571428571428525,1.1,1.4360775886349981,3
3,-2.0,-1.0,0.0,0.6857142857142857,0.2857142857142857,0.02857142857142858,0.9,1.3636056210851701,4
4,-2.0,0.0,-2.0,0.7285714285714285,0.2714285714285714,5.551115123125783e-17,0.8142857142857143,1.3437224646897146,2
5,-2.0,0.0,-1.0,0.6285714285714286,0.35714285714285715,0.01428571428571429,1.0857142857142856,1.4420482327543909,3
6,-2.0,0.0,0.0,0.6142857142857143,0.37142857142857144,0.014285714285714235,1.1714285714285715,1.4936719521438162,3
7,-2.0,0.0,1.0,0.7142857142857143,0.2714285714285714,0.01428571428571429,1.1714285714285715,3.1849802791982844,3
8,-2.0,0.0,2.0,0.6428571428571429,0.34285714285714286,0.014285714285714235,1.6428571428571428,5.214349527389664,3
9,-2.0,1.0,-2.0,0.6,0.4,0.0,1.2,1.480305491385507,2
10,-2.0,1.0,-1.0,0.5857142857142857,0.4142857142857143,0.0,1.2428571428571429,1.4884649644215882,2
11,-2.0,1.0,0.0,0.6142857142857143,0.38571428571428573,0.0,1.1571428571428573,1.4708344697031954,2
12,-2.0,1.0,1.0,0.7,0.3,5.551115123125783e-17,0.9,1.3846989941311527,2
13,-2.0,1.0,2.0,0.6428571428571429,0.35714285714285715,0.0,1.0714285714285714,1.4478512671975203,2
14,-2.0,2.0,-2.0,0.6571428571428571,0.34285714285714286,0.0,1.0285714285714285,1.4342743312012722,2
15,-2.0,2.0,-1.0,0.6714285714285714,0.32857142857142857,5.551115123125783e-17,0.9857142857142858,1.419255337945119,2
16,-2.0,2.0,0.0,0.6142857142857143,0.38571428571428573,0.0,1.1571428571428573,1.4708344697031956,2
17,-2.0,2.0,1.0,0.6,0.4,0.0,1.2,1.480305491385507,2
18,-2.0,2.0,2.0,0.6714285714285714,0.32857142857142857,5.551115123125783e-17,0.9857142857142858,1.419255337945119,2
