,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique,r_hat,p0_nb,pk_nb,zero_inflated,k_inflated,POIS_MSE_test,POIS_MAE_test,POIS_R2_test,POIS_MSE_train,POIS_MAE_train,POIS_R2_train,POIS_LLF,POIS_AIC,POIS_BIC,NB_MSE_test,NB_MAE_test,NB_R2_test,NB_MSE_train,NB_MAE_train,NB_R2_train,NB_LLF,NB_AIC,NB_BIC,ZK_H_P_MSE_test,ZK_H_P_MAE_test,ZK_H_P_R2_test,ZK_H_P_MSE_train,ZK_H_P_MAE_train,ZK_H_P_R2_train,ZK_H_P_LLF,ZK_H_P_AIC,ZK_H_P_BIC,ZK_H_NB_MSE_test,ZK_H_NB_MAE_test,ZK_H_NB_R2_test,ZK_H_NB_MSE_train,ZK_H_NB_MAE_train,ZK_H_NB_R2_train,ZK_H_NB_LLF,ZK_H_NB_AIC,ZK_H_NB_BIC,ZINB_MSE_test,ZINB_MAE_test,ZINB_R2_test,ZINB_MSE_train,ZINB_MAE_train,ZINB_R2_train,ZINB_LLF,ZINB_AIC,ZINB_BIC,ZIP_MSE_test,ZIP_MAE_test,ZIP_R2_test,ZIP_MSE_train,ZIP_MAE_train,ZIP_R2_train,ZIP_LLF,ZIP_AIC,ZIP_BIC,ZKINB_MSE_test,ZKINB_MAE_test,ZKINB_R2_test,ZKINB_MSE_train,ZKINB_MAE_train,ZKINB_R2_train,ZKINB_LLF,ZKINB_AIC,ZKINB_BIC,ZKIP_MSE_test,ZKIP_MAE_test,ZKIP_R2_test,ZKIP_MSE_train,ZKIP_MAE_train,ZKIP_R2_train,ZKIP_LLF,ZKIP_AIC,ZKIP_BIC,RF_MSE_test,RF_MAE_test,RF_R2_test,RF_MSE_train,RF_MAE_train,RF_R2_train,GB_MSE_test,GB_MAE_test,GB_R2_test,GB_MSE_train,GB_MAE_train,GB_R2_train
0,-2.0,-2.0,-1.0,0.7285714285714285,0.21428571428571427,0.05714285714285719,0.7,1.231824380481173,3,0.599468085106383,0.6288962318929753,0.04083674747396563,True,True,1.619445662040433,0.9251538038003865,-0.4516943185621416,1.4252459210976698,0.9272379013674217,0.04711351980098455,-84.13250469896191,172.26500939792382,176.76199988202254,6.240768989718663,1.4602983902269437,-4.594314831421114,2.225769872734274,1.0378546603873384,-0.48809829122635384,-70.98678977934367,147.97357955868733,154.7190652848354,1.1625372645982466,0.8370179476124093,-0.04211507782711399,1.3304760796565762,0.8939564693889169,0.11047444531078932,-44.01719069666677,96.03438139333355,105.02836236153098,1.1625372645982466,0.8370179476124093,-0.04211507782711399,1.3304760796565762,0.8939564693889169,0.11047444531078932,-45.56236814114633,101.12473628229266,112.36721249253945,1.2965844474759876,0.8198423082895119,-0.1622768951477982,1.1410086514097657,0.7888920017837691,0.23714798855125474,-63.07244015631654,136.14488031263306,147.38735652287988,1.1651589828474005,0.8342815475041843,-0.044465223667988774,1.1912187174029503,0.8535024173489876,0.2035786989665086,-57.5861710071615,123.172342014323,132.16632298252043,1.4559983984530647,0.8633231621863224,-0.3051778472188831,1.0529546939567478,0.7320484450131824,0.2960188292552782,-34.44607592469983,82.89215184939965,98.63161854374516,1.3578326124289994,0.9461634276820673,-0.2171806286714142,1.490045085827899,1.0059799036268808,0.0037902960080899994,-45.628726061436296,103.25745212287259,116.74842357516874,1.2292352790220002,0.8406769626032217,-0.10190413458147485,1.1926405235666329,0.8297521031252467,0.20262811222861188,1.3744390353676024,0.8498598433357201,-0.23206686437334922,1.0081360160610915,0.7211264197570514,0.3259835613727179
1,-2.0,-2.0,0.0,0.6857142857142857,0.17142857142857143,0.14285714285714285,0.8571428571428571,1.4574716472317644,7,0.579831932773109,0.5908278679941743,0.04938855693013541,True,True,1.6978942955495928,0.9382619149770285,0.03832292888946909,1.6581888605437562,0.9866901517564829,0.20807744476955115,-88.51208656148111,181.02417312296222,185.52116360706094,1.9542304884014399,0.9487797524685683,-0.10686434207759343,1.793357335709677,0.9795939457634382,0.1435232997098035,-78.90560723584578,163.81121447169156,170.55670019783963,1.5512713409356642,0.9111819480324185,0.12136928455500451,1.6118929127155446,0.9776363929136052,0.23018759529179655,-57.3123454060078,122.6246908120156,131.61867178021305,1.6128665426360973,0.9182017730100857,0.08648213444148056,1.625055832601487,0.9773683305391452,0.2239012105509468,-59.60797724678811,129.21595449357622,140.458430703823,1.3670639121991386,0.8670155607496267,0.22570325929564217,1.5966756760294363,0.9481473132384569,0.23745508649666303,-74.19353401827568,158.38706803655137,169.62954424679816,1.3438257417772443,0.8584754490300576,0.23886521862837018,1.597919110664969,0.9519923756515738,0.23686124344460557,-67.39506373875095,142.7901274775019,151.78410844569933,1.6542572346603444,0.9244942162711024,0.06303869654228456,1.594670594504085,0.9472677046091856,0.2384126790380101,-51.58105341897464,117.16210683794928,132.9015735322948,2.0105697525730952,1.0456598798991583,-0.13877456092875118,1.890078030002968,1.0545370559432832,0.09733115526174052,-62.8607990233967,137.72159804679342,151.21256949908957,1.3733556002743168,0.8861172143923538,0.22213968518131832,1.615317543049597,0.923997032073346,0.22855205059034855,1.5163227922314566,0.9095226813234303,0.14116393139816807,1.4053528996559468,0.8339532642540318,0.3288275625424816
2,-2.0,-2.0,1.0,0.6428571428571429,0.21428571428571427,0.14285714285714282,2.7857142857142856,8.080918403004999,11,0.12413242495209703,0.6759902868889025,0.029300355447563698,False,True,7.58000060039936,1.85515175005001,-0.04953854467068086,6.214272365074902,1.4594672047192738,0.9034576668446378,-116.57220917660219,237.14441835320437,241.6414088373031,9.231618857241108,1.9318167096178827,-0.2782241494641535,34.420656025248775,2.1314228805444873,0.46525510209502385,-100.02990113002093,206.05980226004186,212.80528798618994,9.936531301200608,1.9690444013877775,-0.3758274109354691,7.859510665994,1.5599647303072617,0.8778979335667774,-66.61316879029656,141.2263375805931,150.22031854879054,10.483708971853947,2.036836514775083,-0.45159047302593125,11.12615328735821,1.6923996098219058,0.8271487417509068,-73.00008713875864,156.0001742775173,167.24265048776408,7.767534251901185,1.8479332841825011,-0.07550474257093343,6.218946114723941,1.4150556576464688,0.9033850574272846,-110.74934658048653,231.49869316097306,242.74116937121985,10.519086341597268,2.062791973104922,-0.4564888780673142,8.303842987052063,1.5240638461988496,0.8709949726968339,-92.49319765774837,192.98639531549674,201.98037628369417,10.0234135207246,1.9977326339301764,-0.3878572567157139,8.551424218631174,1.5961828652223793,0.867148654360924,-65.77467892973202,145.54935785946404,161.28882455380955,5.851191335689716,1.751117702274143,0.1898350458275777,39.08489472753928,2.4771003741936037,0.39279344282765827,-85.98754358420678,183.97508716841355,197.4660586207097,10.62029100370455,2.496528661412519,-0.4705018312821687,55.8950239514302,2.8739272992046194,0.13163831466841702,19.574921807127918,3.09436919505287,-1.710373788679251,50.16000754651698,2.435143173214133,0.220735127921456
3,-2.0,-2.0,2.0,0.6428571428571429,0.21428571428571427,0.14285714285714282,6.485714285714286,24.571541720573414,12,0.07042734660119068,0.7266664413701117,0.018300831756104755,False,True,100.0710429852779,5.2981859751380975,0.9332405254489907,58.914571681395095,2.860031690668157,0.9010064587455178,-184.08475435241573,372.16950870483146,376.6664991889302,114.64495508550769,5.7386816108091425,0.9235179655061801,61.85619626389736,3.11986348322557,0.896063677593888,-112.67307101570493,231.34614203140987,238.09162775755794,97.2119517814638,5.0516705424496555,0.9351478846686615,68.07446812474069,2.849286297758698,0.8856151801437678,-79.70191429488425,167.4038285897685,176.39780955796593,166.09781262915217,6.330482705909202,0.8891926938662416,95.75832556521789,3.3985953994737113,0.8390982827887705,-82.21521178190434,174.4304235638087,185.67289977405548,328.25166597924823,7.887677992482822,0.7810164850136326,133.06165158270935,3.983940110461481,0.7764178925618463,-129.13565312094588,268.27130624189175,279.51378245213857,11265.594343796063,24.25676787714424,-6.515512344637913,3678.921510565148,10.078308707318861,-5.181653501575777,-436.93407573826863,881.8681514765373,890.8621324447347,158.38047663965614,6.283675564771286,0.8943410892483916,92.50571510459251,3.3710426891111513,0.844563610272775,-75.2088288096017,164.4176576192034,180.1571243135489,856.8671680462207,10.002485312882355,0.4283660868090212,326.879191598017,5.344587669095333,0.45074829850780573,-95.93794600495887,203.87589200991775,217.3668634622139,1417.4357122235997,14.507196171726218,0.054399149494181565,545.2976925722294,8.571067136200165,0.08374196595118655,1332.4063131633927,13.879782192195115,0.11112403047181463,508.1706747837375,7.422534035412155,0.14612610729701292
4,-2.0,-1.0,1.0,0.6571428571428571,0.2571428571428571,0.08571428571428574,3.0714285714285716,14.295353890587768,7,0.04686707898205415,0.8214081350109725,0.013137907887582395,False,True,22.76576944652255,2.285228332945875,0.8331444631594653,5.342855798761895,1.28311857463614,0.9734763932607599,-101.4129902718411,206.8259805436822,211.3229710277809,127.04935484951943,3.618916502904896,0.06882618843799893,39.48080976700179,1.9770260613761572,0.8040049158262199,-87.94035248440416,181.88070496880832,188.6261906949564,26.290200834621643,2.3387382056244754,0.8073130985442565,5.733010455977047,1.285316131958164,0.9715395435524342,-51.028824302296606,110.05764860459321,119.05162957279065,30.61053039041528,2.411925053738341,0.7756484140251005,5.41647580620226,1.2338617088340778,0.9731109205250105,-56.514108739182845,123.02821747836569,134.27069368861248,17.715469587160495,2.190227478808979,0.8701592671712072,6.380475369714108,1.3470542371524885,0.9683253252773691,-116.17859805015381,242.35719610030762,253.5996723105544,22.33631978344879,2.4292289670750895,0.8362919980691235,7.204853136713833,1.3575281577988463,0.9642328562832517,-86.62058474131867,181.24116948263733,190.23515045083477,22.562910436425433,2.2657861611769468,0.8346312632921032,5.989736990949479,1.3098865712047527,0.970265072761979,-50.62917066285172,115.25834132570344,130.99780802004895,68.99361995911191,2.7767894614115463,0.49432996218768754,127.90990974736955,2.7775595753288687,0.36501521433965944,-69.75239481166179,151.50478962332357,164.99576107561973,129.8058231168126,4.474928460114433,0.048623401371939434,190.71678810125894,3.7240036591241474,0.05322223232358303,128.8338970349887,5.40892357084303,0.055746870162791784,184.09219109372214,3.5235551604408837,0.08610880318603642
5,-2.0,-1.0,2.0,0.6428571428571429,0.2857142857142857,0.0714285714285714,5.8428571428571425,21.816517950547066,7,0.07261795710714708,0.7264923309583714,0.018836275895465975,False,True,50.33536541879684,2.9457941491793247,0.6890511371694694,264.0441772244742,6.097022308929502,0.43719924346067873,-351.6223833685792,707.2447667371584,711.7417572212572,61.121047668064385,3.372829139465048,0.6224221258896832,276.9325857671207,6.154327270099491,0.4097280598328621,-108.43786198766101,222.87572397532202,229.6212097014701,52.18612652389428,2.599447799752159,0.6776179816492331,271.50132608816523,6.011103494782479,0.421304596336748,-59.753860811920106,127.50772162384021,136.50170259203765,51.837999889891805,2.6249511788215454,0.6797685487517751,269.14935007574877,6.015257780787112,0.42631774941236,-69.04628257076342,148.09256514152685,159.33504135177364,73.7000723167043,3.666613169430507,0.5447146655887961,300.69181916281025,6.149666468937171,0.35908610033030286,-120.4417518006373,250.8835036012746,262.1259798115214,47.09942246374905,2.738105597001459,0.7090413125399024,265.20416550344385,6.073083768185686,0.43472676977145264,-171.07916150810263,350.15832301620526,359.1523039844027,52.30541477340492,2.622979415789904,0.6768810734093552,270.3716696933114,6.014044769155084,0.42371241869562815,-59.682642930419775,133.36528586083955,149.10475255518506,116.37613352052904,4.0160006568816105,0.2810814806301356,373.8362653659511,6.0055182003616165,0.20318131919672489,-70.15239208508136,152.30478417016272,165.79575562245887,144.62474957772784,6.941355815911942,0.10657445229251972,430.2051145027978,8.416754200023933,0.08303312553859288,134.91944731723066,6.35096730537463,0.16652937019605019,401.58200727352954,7.8825213483536425,0.14404225883011534
6,-1.0,-2.0,-1.0,0.7,0.2571428571428571,0.04285714285714293,0.8428571428571429,1.3257288319327618,4,0.7766571816594455,0.5651004358900609,0.050867124420863996,True,True,1.8836846039217723,1.2168041018084235,0.056060053714034,1.682177568818387,1.1360627662730705,0.02901754185297467,-100.09837997728523,204.19675995457047,208.69375043866918,1.8796503684369843,1.2080913199683292,0.05808166392356029,1.6907363582816082,1.1330152858873632,0.024077258148205605,-83.92412788174026,173.84825576348052,180.5937414896286,1.9268743575191782,1.3065655171594388,0.03441708142134736,1.7136447855789072,1.2215255486383982,0.010854111280875545,-52.41467358977738,112.82934717955476,121.82332814775219,1.9522370104793834,1.3203841989053449,0.021707511452424888,1.7259292772581332,1.231717122484533,0.0037632867752556143,-53.99541211426859,117.99082422853718,129.23330043878397,1.7716992162831018,1.1914600077661355,0.11217745286481551,1.6479235578771305,1.1222569634224255,0.04878955900601467,-79.70601009600465,169.4120201920093,180.6544964022561,1.8406950749550608,1.2087210426456023,0.07760269072407877,1.6653070332102462,1.132408031483388,0.03875551151723311,-70.98303615700976,149.96607231401953,158.96005328221696,2.357950902876787,1.313614623643273,-0.18160123195384625,2.10006661480363,1.1921843674730503,-0.21219536017643903,-50.404101108900015,114.80820221780003,130.54766891214555,3.080276383512379,1.4698224287905437,-0.5435683436309249,2.5561631075114257,1.2797548715394964,-0.4754622719762034,-51.78098791571267,115.56197583142534,129.0529472837215,1.7486536561281047,1.182619819828788,0.1237258961496136,1.6572862697745618,1.124582198515507,0.04338523714273124,1.7768833379025688,1.1920467052315595,0.10957961909114045,1.486757511486683,1.0462703580001225,0.14181743358643573
7,-1.0,-2.0,1.0,0.7142857142857143,0.22857142857142856,0.057142857142857134,1.4428571428571428,3.3906765358259126,6,0.20706901623911514,0.6506665323238399,0.040007999103235777,True,True,33.534252645893524,2.973323303027859,0.469030675369818,6.022032834818604,1.3893620759832594,0.46860269605771465,-114.44812144836925,232.8962428967385,237.39323338083722,39.411318053388754,3.062925285389327,0.375975330341657,6.237256790906944,1.436595729923057,0.4496108650354945,-87.05663017987726,180.11326035975452,186.8587460859026,27.57319779684793,2.7669148431385784,0.5634158790808899,6.352558766420743,1.3797777324957339,0.43943636738530056,-49.98693589811358,107.97387179622716,116.96785276442459,28.19313927389461,2.7914099110952906,0.5535999481623274,6.271782179539588,1.3803908468029085,0.4465642694854224,-53.83889002257853,117.67778004515706,128.92025625540387,44.92569783359904,3.1538186760573166,0.2886626194078371,6.712284977133123,1.4721242113411477,0.40769334243454214,-87.26150261197105,184.5230052239421,195.7654814341889,36.03981372732201,3.0759383599096233,0.42935852017751597,5.934263570944917,1.384242994800075,0.47634764721802847,-77.10773431610868,162.21546863221735,171.20944960041479,27.404342897300392,2.7634417448944566,0.5660894669768239,6.376009745641493,1.3806470316049142,0.43736700186130995,-49.91198914048334,113.82397828096668,129.5634449753122,54.896935881998985,3.234488944756106,0.13078161373306085,8.951124359434214,1.6640739901669053,0.2101332752034495,-59.83716619145975,131.6743323829195,145.16530383521567,60.67573568638764,3.340649062151812,0.039282171007743116,9.815479248620264,1.6547085518379498,0.1338607156937942,57.67390641191655,3.392676675281138,0.08681205871246289,9.11145553280981,1.6189658486451879,0.1959853029809996
8,-1.0,-2.0,2.0,0.7285714285714285,0.15714285714285714,0.11428571428571432,29.585714285714285,118.42217438961151,10,0.06254826170856755,0.6801964514198211,0.0154418586878705,True,True,939.5496637777546,8.912372846578128,-0.27131097610109656,1492.7976882625824,13.720950993266758,0.8920099254362445,-489.61319996848636,983.2263999369727,987.7233904210715,387.72919099341766,7.087960440214163,0.4753610210632475,4329.053984707715,19.75854051493768,0.6868330743845061,-116.54940758812153,239.09881517624305,245.84430090239113,2116.6997955516053,12.507351516665768,-1.8641207452257045,431.5076818170652,6.583267964351597,0.9687844192815621,-101.87968785316906,211.75937570633812,220.75335667453555,2121.711832855409,12.848874645743734,-1.8709025666478247,1705.9327313863662,10.659284459084684,0.8765915808205887,-81.75982614107502,173.51965228215005,184.76212849239684,394.71232022892553,7.428648466525751,0.46591210187686005,7671.363151444455,23.875239147884166,0.445047989259471,-120.81127233580317,251.62254467160633,262.8650208818531,8.278123228840698e+261,2.29489375989115e+130,-1.1201184278037312e+259,1.9561811815539808e+276,1.6716902326895373e+137,-1.4151157475471078e+272,-1.2266950255285245e+139,2.453390051057049e+139,2.453390051057049e+139,2118.550874696708,12.788442489412883,-1.8666254528803683,1395.9498027261586,10.058667374448518,0.8990159721783136,-73.84480388971502,161.68960777943005,177.42907447377556,520.6111604152769,7.907129217727512,0.29555753353637604,11161.38544549243,27.20911523670449,0.19257722866896043,-121.9976583614184,255.9953167228368,269.486288175133,1210.4858123328095,21.612440952557098,-0.6379165029400427,12656.152336900024,44.93689355009825,0.08444470051210706,1628.163639225488,18.727312537478348,-1.2030791827580205,11679.292003747989,38.655960574392154,0.1551114901547418
9,-1.0,-1.0,1.0,0.6285714285714286,0.32857142857142857,0.04285714285714287,2.1714285714285713,6.622253718064436,5,0.11311860673698065,0.711787110387635,0.02710406831171549,False,True,1.9217074046866462,0.9405719334168073,-0.09187920720832143,25.531970611275472,2.246744175372236,0.4093616346487058,-159.3588370249662,322.7176740499324,327.2146645340311,1.7611683720609157,0.9578047147457968,-0.0006638477618836625,27.804669181756044,2.202964880273472,0.35678664977808794,-101.87423111390436,209.74846222780872,216.4939479539568,1.1614740417522555,0.8811669850954419,0.34007156718621867,24.94811144045259,2.146592206254938,0.42286821553509835,-54.173858133451816,116.34771626690363,125.34169723510107,1.1362762749574251,0.9016333200590887,0.35438848013782676,29.476052179524284,2.1058356457263914,0.31812206972245294,-52.9817594730876,115.9635189461752,127.20599515642199,1.7882014264884627,0.9742081740126924,-0.01602353777753529,29.56807462187093,2.1648556362381073,0.31599328829187845,-110.55963686354742,231.11927372709485,242.36174993734164,2.3408746137994365,1.0067242661962106,-0.330042394204225,27.235662432301652,2.2577467605846233,0.36994964536069985,-138.33790014937549,284.67580029875097,293.6697812669484,1.1431543129941295,0.8968223828280649,0.3504805039806085,27.25573980427788,2.1210305357046226,0.3694851897828231,-51.52721149547629,117.05442299095257,132.7938896852981,1.4928648096284067,1.1787032405662083,0.15178135816567817,32.22412296085839,2.233364639157385,0.2545501637826887,-65.1569689192328,142.3139378384656,155.80490929076174,3.8459042151817724,1.5120798124712551,-1.1851728495350975,39.76852404259743,2.475952080155451,0.0800233796845975,4.3944863683840305,1.5097510323018069,-1.4968672547636528,37.87235062037382,2.440721061426637,0.1238881008052668
