,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,0.0,-2.0,0.6571428571428571,0.3380952380952381,0.004761904761904745,1.019047619047619,1.4208357428808909,3
1,-2.0,0.0,-1.0,0.6571428571428571,0.34285714285714286,0.0,1.0285714285714285,1.4273952779670187,2
2,-2.0,0.0,2.0,0.6761904761904762,0.3142857142857143,0.00952380952380949,1.7095238095238094,7.876219720953183,4
3,-2.0,1.0,-2.0,0.638095238095238,0.3619047619047619,5.551115123125783e-17,1.0857142857142856,1.4450991967030113,2
4,-2.0,1.0,-1.0,0.6619047619047619,0.3380952380952381,0.0,1.0142857142857142,1.4225745628529571,2
5,-2.0,1.0,0.0,0.6523809523809524,0.3476190476190476,0.0,1.042857142857143,1.4320565826981886,2
6,-2.0,1.0,1.0,0.7238095238095238,0.2761904761904762,0.0,0.8285714285714286,1.3445416348303267,2
7,-2.0,1.0,2.0,0.6476190476190476,0.3523809523809524,0.0,1.0571428571428572,1.4365600287966722,2
8,-2.0,2.0,-2.0,0.680952380952381,0.319047619047619,0.0,0.9571428571428572,1.4016638877189276,2
9,-2.0,2.0,-1.0,0.638095238095238,0.3619047619047619,5.551115123125783e-17,1.0857142857142856,1.4450991967030113,2
10,-2.0,2.0,0.0,0.6238095238095238,0.3761904761904762,0.0,1.1285714285714286,1.4567588251930566,2
11,-2.0,2.0,1.0,0.6714285714285714,0.32857142857142857,5.551115123125783e-17,0.9857142857142858,1.412448318666913,2
12,-2.0,2.0,2.0,0.6428571428571429,0.35714285714285715,0.0,1.0714285714285714,1.4409070963888637,2
13,-1.0,-2.0,-2.0,0.7714285714285715,0.22857142857142856,0.0,0.6857142857142857,1.2627477119383221,2
14,-1.0,-1.0,-2.0,0.7285714285714285,0.2619047619047619,0.009523809523809545,0.7952380952380952,1.3200609636770966,3
15,-1.0,0.0,-2.0,0.6904761904761905,0.30952380952380953,0.0,0.9285714285714286,1.3902059525722534,2
16,-1.0,0.0,-1.0,0.6904761904761905,0.30952380952380953,0.0,0.9285714285714286,1.3902059525722537,2
17,-1.0,0.0,0.0,0.7238095238095238,0.2761904761904762,0.0,0.8285714285714286,1.3445416348303267,2
18,-1.0,0.0,1.0,0.6952380952380952,0.3047619047619048,0.0,0.9142857142857143,1.384219232811023,2
19,-1.0,0.0,2.0,0.7238095238095238,0.2761904761904762,0.0,0.8285714285714286,1.3445416348303267,2
20,-1.0,1.0,-2.0,0.6904761904761905,0.30952380952380953,0.0,0.9285714285714286,1.3902059525722534,2
21,-1.0,1.0,-1.0,0.7,0.3,5.551115123125783e-17,0.9,1.3780577136683925,2
22,-1.0,1.0,0.0,0.7380952380952381,0.2619047619047619,0.0,0.7857142857142857,1.3221650051154281,2
23,-1.0,1.0,1.0,0.680952380952381,0.319047619047619,0.0,0.9571428571428572,1.4016638877189276,2
24,-1.0,1.0,2.0,0.7333333333333333,0.26666666666666666,5.551115123125783e-17,0.8,1.3298199324087374,2
25,-1.0,2.0,-2.0,0.6571428571428571,0.34285714285714286,0.0,1.0285714285714285,1.4273952779670187,2
26,-1.0,2.0,-1.0,0.6714285714285714,0.32857142857142857,5.551115123125783e-17,0.9857142857142858,1.412448318666913,2
27,-1.0,2.0,0.0,0.6857142857142857,0.3142857142857143,0.0,0.9428571428571428,1.3960201217930663,2
28,-1.0,2.0,1.0,0.680952380952381,0.319047619047619,0.0,0.9571428571428572,1.4016638877189276,2
29,-1.0,2.0,2.0,0.7285714285714285,0.2714285714285714,5.551115123125783e-17,0.8142857142857143,1.3372777154771138,2
30,0.0,-2.0,-2.0,0.7428571428571429,0.24761904761904763,0.00952380952380949,0.7523809523809524,1.2961551710295525,3
31,0.0,-2.0,-1.0,0.7666666666666667,0.21904761904761905,0.014285714285714235,0.6714285714285714,1.2418703509456042,3
32,0.0,-2.0,0.0,0.7333333333333333,0.26666666666666666,5.551115123125783e-17,0.8,1.3298199324087376,2
33,0.0,-1.0,-2.0,0.7476190476190476,0.2523809523809524,0.0,0.7571428571428571,1.3062497649353708,2
34,0.0,-1.0,-1.0,0.719047619047619,0.28095238095238095,0.0,0.8428571428571429,1.351614816089679,2
35,0.0,-1.0,0.0,0.7761904761904762,0.22380952380952382,0.0,0.6714285714285714,1.2533754834561948,2
36,0.0,-1.0,1.0,0.6904761904761905,0.3047619047619048,0.004761904761904745,1.0380952380952382,2.21531774654541,3
37,0.0,-1.0,2.0,0.7476190476190476,0.24761904761904763,0.004761904761904745,2.7523809523809524,29.098177634902893,3
38,0.0,0.0,-2.0,0.7095238095238096,0.2904761904761905,0.0,0.8714285714285714,1.3652007431276276,2
39,0.0,0.0,-1.0,0.7571428571428571,0.24285714285714285,2.7755575615628914e-17,0.7285714285714285,1.2895022804311684,2
40,0.0,0.0,0.0,0.7666666666666667,0.23333333333333334,0.0,0.7,1.2718896765373546,2
41,0.0,0.0,1.0,0.7285714285714285,0.2714285714285714,5.551115123125783e-17,0.8142857142857143,1.3372777154771136,2
42,0.0,0.0,2.0,0.7523809523809524,0.24761904761904763,0.0,0.7428571428571429,1.2979820291187558,2
43,0.0,1.0,-2.0,0.7523809523809524,0.24285714285714285,0.004761904761904773,4.076190476190476,48.4782189019577,3
44,0.0,1.0,-1.0,0.7285714285714285,0.2714285714285714,5.551115123125783e-17,0.8142857142857143,1.3372777154771138,2
45,0.0,1.0,0.0,0.6857142857142857,0.3142857142857143,0.0,0.9428571428571428,1.3960201217930663,2
46,0.0,1.0,1.0,0.7380952380952381,0.2571428571428571,0.004761904761904745,0.7761904761904762,1.3133123184687936,3
47,0.0,1.0,2.0,0.7238095238095238,0.2761904761904762,0.0,0.8285714285714286,1.3445416348303267,2
48,0.0,2.0,1.0,0.7761904761904762,0.21904761904761905,0.004761904761904745,0.6619047619047619,1.2431539571675083,3
49,0.0,2.0,2.0,0.7,0.3,5.551115123125783e-17,0.9,1.3780577136683925,2
